,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,282843.0,22.66,22.8,55.0,,22.65
1,282993.0,22.66,22.8,55.0,,22.64
2,283143.0,22.67,22.8,55.0,,22.63
3,283293.0,22.82,22.82,55.0,,22.6
4,283443.0,23.14,22.86,55.0,,22.55
5,283593.0,23.69,22.96,55.0,,22.48
6,283.593,,,,20.7,
7,283743.0,24.7,23.14,55.0,,22.37
8,283893.0,25.68,23.4,55.0,,22.29
9,284043.0,26.8,23.74,55.0,,22.22
10,284193.0,28.49,24.2,55.0,,22.11
11,284.209,,,,21.61,
12,284343.0,29.85,24.74,55.0,,22.03
13,284493.0,31.29,25.35,55.0,,21.96
14,284643.0,33.31,26.06,55.0,,21.85
15,284793.0,34.87,26.83,55.0,,21.8
16,284.793,,,,22.86,
17,284943.0,36.46,27.65,55.0,,21.73
18,285093.0,38.6,28.56,55.0,,21.65
19,285243.0,40.2,29.5,55.0,,21.6
20,285393.0,41.81,30.46,55.0,,21.54
21,285.393,,,,23.52,
22,285543.0,43.95,31.47,55.0,,21.47
23,285693.0,45.55,32.52,55.0,,21.43
24,285843.0,47.12,33.56,55.0,,21.4
25,285993.0,49.19,34.64,55.0,,21.32
26,285.993,,,,24.32,
27,286143.0,50.74,35.74,55.0,,21.3
28,286293.0,52.25,36.83,55.0,,21.27
29,286443.0,54.25,37.95,55.0,,21.22
30,286593.0,55.75,39.07,55.0,,21.19
31,286.593,,,,27.51,
32,286743.0,57.23,40.18,55.0,,21.17
33,286893.0,59.12,41.3,55.0,,21.13
34,287043.0,60.52,42.43,55.0,,21.1
35,287193.0,61.9,43.53,55.0,,21.08
36,287.193,,,,30.77,
37,287343.0,63.69,44.64,55.0,,21.07
38,287493.0,65.02,45.76,55.0,,21.06
39,287643.0,66.34,46.85,55.0,,21.05
40,287793.0,68.04,47.94,55.0,,21.02
41,287.793,,,,38.61,
42,287943.0,69.28,49.03,55.0,,21.01
43,288093.0,70.51,50.09,55.0,,21.01
44,288249.0,72.13,51.16,55.0,,20.98
45,288398.0,73.31,52.22,55.0,,20.97
46,288.398,,,,54.05,
47,288549.0,74.46,53.26,55.0,,20.97
48,288699.0,75.88,54.29,55.0,,20.99
49,288848.0,76.71,55.29,55.0,,21.05
50,288999.0,77.24,56.22,55.0,,21.17
51,288.999,,,,67.99,
52,289146.0,77.43,57.04,55.0,,21.43
53,289293.0,77.25,57.74,55.0,,21.69
54,289443.0,76.82,58.31,55.0,,21.98
55,289593.0,75.96,58.73,55.0,,22.4
56,289.593,,,,68.67,
57,289742.0,75.14,59.02,55.0,,22.72
58,289892.0,74.22,59.19,55.0,,23.07
59,290042.0,73.19,59.26,55.0,,23.41
60,290192.0,71.73,59.18,55.0,,23.85
61,290.192,,,,65.37,
62,290342.0,70.59,59.04,55.0,,24.17
63,290493.0,69.42,58.83,55.0,,24.47
64,290641.0,67.91,58.51,55.0,,24.8
65,290793.0,66.81,58.17,55.0,,25.05
66,290.793,,,,60.78,
67,290943.0,65.75,57.81,55.0,,25.28
