,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,330212.0,33.32,33.23,55.0,,33.41
1,330351.0,33.32,33.23,55.0,,33.41
2,330506.0,33.39,33.24,55.0,,33.4
3,330651.0,33.79,33.28,55.0,,33.37
4,330801.0,34.43,33.38,55.0,,33.33
5,330.849,,,,30.68,
6,330951.0,35.36,33.57,55.0,,33.27
7,331106.0,36.49,33.84,55.0,,33.21
8,331251.0,38.36,34.28,55.0,,33.14
9,331401.0,39.85,34.8,55.0,,33.07
10,331.448,,,,30.67,
11,331556.0,41.38,35.41,55.0,,33.02
12,331703.0,43.48,36.13,55.0,,32.93
13,331853.0,45.1,36.91,55.0,,32.87
14,332008.0,46.73,37.74,55.0,,32.82
15,332.02,,,,30.88,
16,332155.0,48.9,38.66,55.0,,32.74
17,332305.0,50.5,39.62,55.0,,32.69
18,332460.0,52.08,40.58,55.0,,32.63
19,332605.0,54.18,41.63,55.0,,32.56
20,332.605,,,,30.94,
21,332755.0,55.74,42.67,55.0,,32.51
22,332910.0,57.26,43.7,55.0,,32.46
23,333056.0,59.29,44.78,55.0,,32.39
24,333206.0,60.75,45.85,55.0,,32.35
25,333.206,,,,31.17,
26,333361.0,62.21,46.91,55.0,,32.3
27,333506.0,64.1,48.02,55.0,,32.24
28,333656.0,65.51,49.1,55.0,,32.2
29,333811.0,66.88,50.16,55.0,,32.16
30,333.811,,,,31.47,
31,333961.0,68.68,51.27,55.0,,32.12
32,334112.0,69.99,52.33,55.0,,32.08
33,334266.0,71.23,53.37,55.0,,32.05
34,334412.0,72.48,54.41,55.0,,32.05
35,334.412,,,,31.96,
36,334562.0,72.9,55.33,55.0,,32.09
37,334716.0,72.92,56.13,55.0,,32.18
38,334858.0,72.42,56.76,55.0,,32.33
39,335005.0,71.73,57.23,55.0,,32.47
40,335.005,,,,32.62,
41,335159.0,70.87,57.55,55.0,,32.62
42,335305.0,69.61,57.7,55.0,,32.84
43,335456.0,68.62,57.75,55.0,,33.0
44,335611.0,67.63,57.71,55.0,,33.15
45,335.611,,,,33.64,
46,335756.0,66.35,57.55,55.0,,33.33
47,335904.0,65.42,57.35,55.0,,33.46
48,336056.0,64.53,57.12,55.0,,33.57
49,336211.0,63.7,56.86,55.0,,33.66
50,336.249,,,,35.62,
51,336357.0,62.78,56.56,55.0,,33.75
52,336507.0,62.2,56.28,55.0,,33.8
53,336660.0,61.68,56.01,55.0,,33.84
54,336811.0,61.22,55.77,55.0,,33.89
55,336.811,,,,39.45,
56,336958.0,60.68,55.52,55.0,,33.93
57,337107.0,60.35,55.3,55.0,,33.95
58,337261.0,60.05,55.11,55.0,,33.96
59,337412.0,59.78,54.95,55.0,,33.98
60,337.412,,,,42.67,
61,337558.0,59.46,54.79,55.0,,33.99
62,337708.0,59.26,54.65,55.0,,34.0
63,337862.0,59.08,54.54,55.0,,34.0
64,338010.0,58.85,54.43,55.0,,34.01
65,338.01,,,,44.94,
66,338159.0,58.7,54.34,55.0,,34.0
67,338309.0,58.58,54.27,55.0,,34.0
68,338463.0,58.46,54.21,55.0,,34.0
69,338610.0,58.32,54.16,55.0,,33.99
70,338.61,,,,46.64,
71,338761.0,58.24,54.12,55.0,,33.99
72,338915.0,58.12,54.09,55.0,,33.98
73,339060.0,58.07,54.07,55.0,,33.98
74,339211.0,58.0,54.05,55.0,,33.97
75,339.211,,,,48.2,
76,339365.0,57.94,54.05,55.0,,33.96
77,339510.0,57.89,54.05,55.0,,33.95
78,339661.0,57.85,54.05,55.0,,33.94
79,339815.0,57.82,54.06,55.0,,33.94
80,339.815,,,,49.37,
81,339961.0,57.77,54.07,55.0,,33.92
82,340112.0,57.74,54.09,55.0,,33.92
83,340266.0,57.71,54.11,55.0,,33.91
84,340411.0,57.68,54.13,55.0,,33.9
85,340.411,,,,50.38,
86,340561.0,57.66,54.15,55.0,,33.89
87,340716.0,57.64,54.18,55.0,,33.88
88,340864.0,57.62,54.21,55.0,,33.87
89,341013.0,57.61,54.24,55.0,,33.86
90,341.013,,,,51.13,
91,341164.0,57.59,54.26,55.0,,33.85
92,341318.0,57.58,54.29,55.0,,33.84
93,341465.0,57.56,54.32,55.0,,33.83
94,341614.0,57.54,54.36,55.0,,33.82
95,341.614,,,,51.73,
96,341769.0,57.52,54.39,55.0,,33.82
97,341918.0,57.5,54.42,55.0,,33.81
98,342147.0,57.47,54.44,55.0,,33.8
99,342.147,,,,52.27,
100,342297.0,57.45,54.47,55.0,,33.78
101,342447.0,57.43,54.5,55.0,,33.77
102,342597.0,57.41,54.52,55.0,,33.77
103,342747.0,57.39,54.55,55.0,,33.76
104,342.747,,,,52.69,
105,342897.0,57.38,54.58,55.0,,33.75
106,343047.0,57.35,54.6,55.0,,33.75
107,343197.0,57.33,54.62,55.0,,33.75
108,343347.0,57.31,54.65,55.0,,33.74
109,343497.0,57.29,54.67,55.0,,33.73
110,343.497,,,,53.05,
111,343647.0,57.27,54.69,55.0,,33.72
112,343797.0,57.25,54.71,55.0,,33.72
113,343947.0,57.22,54.73,55.0,,33.71
114,344097.0,57.2,54.75,55.0,,33.71
115,344.097,,,,53.38,
116,344247.0,57.18,54.77,55.0,,33.71
117,344397.0,57.14,54.79,55.0,,33.7
118,344547.0,57.11,54.8,55.0,,33.69
119,344697.0,57.08,54.82,55.0,,33.69
120,344.697,,,,53.54,
121,344847.0,57.05,54.83,55.0,,33.68
122,344997.0,57.02,54.84,55.0,,33.68
123,345147.0,57.0,54.85,55.0,,33.67
124,345297.0,56.96,54.86,55.0,,33.67
125,345.297,,,,53.73,
126,345447.0,56.94,54.87,55.0,,33.67
127,345597.0,56.91,54.88,55.0,,33.67
128,345747.0,56.89,54.89,55.0,,33.66
129,345897.0,56.86,54.9,55.0,,33.66
130,345.897,,,,53.8,
131,346047.0,56.83,54.91,55.0,,33.65
132,346198.0,56.81,54.92,55.0,,33.65
133,346348.0,56.78,54.92,55.0,,33.65
134,346497.0,56.76,54.93,55.0,,33.64
135,346.497,,,,53.9,
136,346652.0,56.73,54.94,55.0,,33.63
137,346798.0,56.7,54.94,55.0,,33.63
138,346948.0,56.68,54.95,55.0,,33.63
139,347101.0,56.66,54.95,55.0,,33.62
140,347.101,,,,54.01,
141,347253.0,56.64,54.96,55.0,,33.61
142,347400.0,56.6,54.96,55.0,,33.61
143,347549.0,56.58,54.96,55.0,,33.6
144,347704.0,56.57,54.97,55.0,,33.61
145,347.704,,,,54.01,
146,347851.0,56.54,54.97,55.0,,33.6
147,348000.0,56.52,54.98,55.0,,33.6
148,348151.0,56.51,54.98,55.0,,33.59
149,348304.0,56.49,54.99,55.0,,33.59
150,348.304,,,,54.0,
151,348452.0,56.46,54.99,55.0,,33.58
152,348601.0,56.44,54.99,55.0,,33.57
153,348752.0,56.41,54.99,55.0,,33.58
154,348902.0,56.37,54.99,55.0,,33.57
155,348.902,,,,54.01,
156,349051.0,56.35,54.99,55.0,,33.56
157,349202.0,56.33,54.99,55.0,,33.56
158,349356.0,56.3,54.99,55.0,,33.56
159,349503.0,56.26,54.99,55.0,,33.55
160,349.54,,,,53.97,
161,349653.0,56.24,54.98,55.0,,33.55
162,349806.0,56.23,54.98,55.0,,33.55
163,349954.0,56.21,54.98,55.0,,33.54
164,350103.0,56.2,54.98,55.0,,33.54
165,350.103,,,,54.01,
166,350252.0,56.19,54.98,55.0,,33.54
167,350403.0,56.17,54.98,55.0,,33.52
168,350552.0,56.16,54.98,55.0,,33.53
169,350703.0,56.15,54.98,55.0,,33.52
170,350.703,,,,53.97,
171,350854.0,56.14,54.98,55.0,,33.52
172,351122.0,56.13,54.99,55.0,,33.51
173,351249.0,56.11,54.99,55.0,,33.51
174,351.249,,,,53.96,
175,351399.0,56.11,54.99,55.0,,33.5
176,351552.0,56.1,54.99,55.0,,33.5
177,351702.0,56.1,54.99,55.0,,33.49
178,351852.0,56.09,55.0,55.0,,33.49
179,351.852,,,,53.96,
180,352003.0,56.08,55.0,55.0,,33.49
181,352152.0,56.08,55.0,55.0,,33.49
182,352302.0,56.07,55.01,55.0,,33.48
183,352457.0,56.07,55.01,55.0,,33.48
184,352.457,,,,53.93,
185,352603.0,56.05,55.01,55.0,,33.47
186,352752.0,56.05,55.02,55.0,,33.47
187,352907.0,56.04,55.02,55.0,,33.47
188,353052.0,56.02,55.02,55.0,,33.46
189,353.052,,,,53.95,
190,353203.0,56.01,55.02,55.0,,33.45
191,353357.0,55.99,55.02,55.0,,33.46
192,353502.0,55.98,55.02,55.0,,33.46
193,353653.0,55.97,55.02,55.0,,33.45
194,353.653,,,,53.88,
195,353807.0,55.95,55.02,55.0,,33.44
196,353952.0,55.95,55.02,55.0,,33.45
197,354102.0,55.93,55.02,55.0,,33.44
198,354252.0,55.93,55.02,55.0,,33.44
199,354.252,,,,53.84,
200,354402.0,55.92,55.02,55.0,,33.44
201,354552.0,55.91,55.02,55.0,,33.43
202,354702.0,55.9,55.02,55.0,,33.42
203,354852.0,55.89,55.02,55.0,,33.42
204,354.852,,,,53.84,
205,355002.0,55.89,55.02,55.0,,33.42
206,355152.0,55.88,55.02,55.0,,33.42
207,355307.0,55.88,55.02,55.0,,33.42
208,355454.0,55.87,55.02,55.0,,33.41
209,355.454,,,,53.81,
210,355604.0,55.87,55.02,55.0,,33.41
211,355756.0,55.86,55.02,55.0,,33.41
212,355908.0,55.86,55.02,55.0,,33.4
213,356055.0,55.84,55.02,55.0,,33.39
214,356.055,,,,53.78,
215,356204.0,55.84,55.02,55.0,,33.39
216,356357.0,55.83,55.02,55.0,,33.39
217,356506.0,55.82,55.02,55.0,,33.39
218,356654.0,55.81,55.02,55.0,,33.38
219,356.654,,,,53.8,
220,356805.0,55.81,55.02,55.0,,33.38
221,356959.0,55.8,55.02,55.0,,33.38
222,357106.0,55.79,55.02,55.0,,33.37
223,357256.0,55.79,55.02,55.0,,33.37
224,357.295,,,,53.75,
225,357410.0,55.78,55.02,55.0,,33.36
226,357557.0,55.78,55.01,55.0,,33.36
227,357707.0,55.78,55.01,55.0,,33.36
228,357859.0,55.78,55.02,55.0,,33.36
229,357.859,,,,53.76,
230,358007.0,55.77,55.02,55.0,,33.35
231,358157.0,55.78,55.02,55.0,,33.35
232,358307.0,55.77,55.02,55.0,,33.35
233,358458.0,55.77,55.02,55.0,,33.34
234,358.458,,,,53.72,
235,358607.0,55.76,55.02,55.0,,33.34
236,358757.0,55.75,55.02,55.0,,33.33
237,358912.0,55.75,55.02,55.0,,33.33
238,359059.0,55.75,55.02,55.0,,33.32
239,359.059,,,,53.67,
240,359209.0,55.74,55.02,55.0,,33.32
241,359361.0,55.74,55.02,55.0,,33.32
242,359513.0,55.73,55.02,55.0,,33.32
243,359660.0,55.73,55.02,55.0,,33.31
244,359.66,,,,53.69,
245,359810.0,55.73,55.02,55.0,,33.31
246,359969.0,55.73,55.02,55.0,,33.3
247,360110.0,55.71,55.02,55.0,,33.31
248,360260.0,55.71,55.01,55.0,,33.3
249,360.26,,,,53.68,
250,360415.0,55.71,55.01,55.0,,33.31
251,360560.0,55.71,55.01,55.0,,33.3
252,360710.0,55.71,55.01,55.0,,33.29
253,360865.0,55.7,55.01,55.0,,33.29
254,361010.0,55.7,55.01,55.0,,33.29
255,361.01,,,,53.66,
256,361160.0,55.7,55.01,55.0,,33.28
257,361315.0,55.69,55.01,55.0,,33.28
258,361460.0,55.69,55.01,55.0,,33.27
259,361610.0,55.69,55.01,55.0,,33.27
260,361.61,,,,53.68,
261,361765.0,55.68,55.01,55.0,,33.28
262,361910.0,55.69,55.01,55.0,,33.27
263,362060.0,55.69,55.01,55.0,,33.28
264,362215.0,55.68,55.01,55.0,,33.27
265,362.215,,,,53.68,
266,362360.0,55.68,55.01,55.0,,33.27
267,362510.0,55.67,55.01,55.0,,33.26
268,362665.0,55.67,55.01,55.0,,33.26
269,362810.0,55.67,55.01,55.0,,33.25
270,362.81,,,,53.68,
271,363055.0,55.67,55.01,55.0,,33.25
272,363187.0,55.67,55.01,55.0,,33.24
273,363333.0,55.67,55.01,55.0,,33.24
274,363.333,,,,53.61,
275,363483.0,55.67,55.01,55.0,,33.23
276,363637.0,55.66,55.01,55.0,,33.23
277,363783.0,55.66,55.01,55.0,,33.23
278,363932.0,55.67,55.01,55.0,,33.23
279,363.938,,,,53.64,
280,364082.0,55.66,55.01,55.0,,33.22
281,364232.0,55.66,55.01,55.0,,33.22
282,364383.0,55.66,55.01,55.0,,33.22
283,364532.0,55.66,55.01,55.0,,33.21
284,364.532,,,,53.64,
285,364682.0,55.66,55.01,55.0,,33.21
286,364832.0,55.66,55.01,55.0,,33.21
287,364982.0,55.65,55.01,55.0,,33.2
288,365133.0,55.65,55.01,55.0,,33.21
289,365.133,,,,53.61,
290,365282.0,55.65,55.01,55.0,,33.2
291,365432.0,55.65,55.01,55.0,,33.2
292,365582.0,55.65,55.01,55.0,,33.19
293,365732.0,55.65,55.01,55.0,,33.19
294,365.732,,,,53.63,
295,365882.0,55.65,55.01,55.0,,33.19
296,366037.0,55.65,55.01,55.0,,33.19
297,366186.0,55.64,55.01,55.0,,33.19
