timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
1764.915,42.25,24,40,65,24.2
1764.915,42.25,24,40,65,24.2
1764.915,42.25,24,40,65,24.2
1764.915,42.25,24,40,65,24.2
1765.066,42.23,24,40,65,24.2
1765.066,42.23,24,40,65,24.2
1765.066,42.23,24,40,65,24.2
1765.066,42.23,24,40,65,24.2
1765.066,42.23,24,40,65,24.2
1765.215,42.24,24,40,65,
1765.215,42.24,24,40,65,
1765.215,42.24,24,40,65,
1765.215,42.24,24,40,65,
1765.365,42.35,24,40,65,
1765.365,42.35,24,40,65,
1765.365,42.35,24,40,65,
1765.365,42.35,24,40,65,
1765.516,42.77,24,40,65,
1765.516,42.77,24,40,65,
1765.516,42.77,24,40,65,
1765.516,42.77,24,40,65,
1765.666,43.32,24,40,65,23.75
1765.666,43.32,24,40,65,23.75
1765.666,43.32,24,40,65,23.75
1765.666,43.32,24,40,65,23.75
1765.666,43.32,24,40,65,23.75
1765.816,44.03,24,40,65,
1765.816,44.03,24,40,65,
1765.816,44.03,24,40,65,
1765.816,44.03,24,40,65,
1765.967,45.22,24,40,65,
1765.967,45.22,24,40,65,
1765.967,45.22,24,40,65,
1765.967,45.22,24,40,65,
1766.116,46.2,24,40,65,
1766.116,46.2,24,40,65,
1766.116,46.2,24,40,65,
1766.116,46.2,24,40,65,
1766.266,47.26,24,40,65,24.21
1766.266,47.26,24,40,65,24.21
1766.266,47.26,24,40,65,24.21
1766.266,47.26,24,40,65,24.21
1766.266,47.26,24,40,65,24.21
1766.416,48.75,24,40,65,
1766.416,48.75,24,40,65,
1766.416,48.75,24,40,65,
1766.416,48.75,24,40,65,
1766.566,49.92,24,40,65,
1766.566,49.92,24,40,65,
1766.566,49.92,24,40,65,
1766.566,49.92,24,40,65,
1766.716,51.09,24,40,65,
1766.716,51.09,24,40,65,
1766.716,51.09,24,40,65,
1766.716,51.09,24,40,65,
1766.867,52.67,24,40,65,24
1766.867,52.67,24,40,65,24
1766.867,52.67,24,40,65,24
1766.867,52.67,24,40,65,24
1766.867,52.67,24,40,65,24
1767.017,53.87,24,40,65,
1767.017,53.87,24,40,65,
1767.017,53.87,24,40,65,
1767.017,53.87,24,40,65,
1767.166,55.07,24,40,65,
1767.166,55.07,24,40,65,
1767.166,55.07,24,40,65,
1767.166,55.07,24,40,65,
1767.317,56.64,24,40,65,
1767.317,56.64,24,40,65,
1767.317,56.64,24,40,65,
1767.317,56.64,24,40,65,
1767.466,57.82,24,40,65,24.09
1767.466,57.82,24,40,65,24.09
1767.466,57.82,24,40,65,24.09
1767.466,57.82,24,40,65,24.09
1767.466,57.82,24,40,65,24.09
1767.616,58.98,24,40,65,
1767.616,58.98,24,40,65,
1767.616,58.98,24,40,65,
1767.616,58.98,24,40,65,
1767.767,60.52,24,40,65,
1767.767,60.52,24,40,65,
1767.767,60.52,24,40,65,
1767.767,60.52,24,40,65,
1767.916,61.64,24,40,65,
1767.916,61.64,24,40,65,
1767.916,61.64,24,40,65,
1767.916,61.64,24,40,65,
1768.066,62.76,24,40,65,
1768.066,62.76,24,40,65,
1768.066,62.76,24,40,65,
1768.066,62.76,24,40,65,
