timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
6633.136,32.31,24,40,65,25.37
6633.136,32.31,24,40,65,25.37
6633.136,32.31,24,40,65,25.37
6633.136,32.31,24,40,65,25.37
6633.277,32.3,24,40,65,25.37
6633.277,32.3,24,40,65,25.37
6633.277,32.3,24,40,65,25.37
6633.277,32.3,24,40,65,25.37
6633.427,32.32,24,40,65,25.37
6633.427,32.32,24,40,65,25.37
6633.427,32.32,24,40,65,25.37
6633.427,32.32,24,40,65,25.37
6633.578,32.5,24,40,65,25.37
6633.578,32.5,24,40,65,25.37
6633.578,32.5,24,40,65,25.37
6633.578,32.5,24,40,65,25.37
6633.578,32.5,24,40,65,25.37
6633.728,32.92,24,40,65,
6633.728,32.92,24,40,65,
6633.728,32.92,24,40,65,
6633.728,32.92,24,40,65,
6633.878,33.61,24,40,65,
6633.878,33.61,24,40,65,
6633.878,33.61,24,40,65,
6633.878,33.61,24,40,65,
6634.028,34.83,24,40,65,
6634.028,34.83,24,40,65,
6634.028,34.83,24,40,65,
6634.028,34.83,24,40,65,
6634.178,35.9,24,40,65,25.25
6634.178,35.9,24,40,65,25.25
6634.178,35.9,24,40,65,25.25
6634.178,35.9,24,40,65,25.25
6634.178,35.9,24,40,65,25.25
6634.328,37.08,24,40,65,
6634.328,37.08,24,40,65,
6634.328,37.08,24,40,65,
6634.328,37.08,24,40,65,
6634.478,38.74,24,40,65,
6634.478,38.74,24,40,65,
6634.478,38.74,24,40,65,
6634.478,38.74,24,40,65,
6634.628,40.03,24,40,65,
6634.628,40.03,24,40,65,
6634.628,40.03,24,40,65,
6634.628,40.03,24,40,65,
6634.778,41.33,24,40,65,25.33
6634.778,41.33,24,40,65,25.33
6634.778,41.33,24,40,65,25.33
6634.778,41.33,24,40,65,25.33
6634.778,41.33,24,40,65,25.33
6634.928,43.07,24,40,65,
6634.928,43.07,24,40,65,
6634.928,43.07,24,40,65,
6634.928,43.07,24,40,65,
6635.078,44.38,24,40,65,
6635.078,44.38,24,40,65,
6635.078,44.38,24,40,65,
6635.078,44.38,24,40,65,
6635.228,45.68,24,40,65,
6635.228,45.68,24,40,65,
6635.228,45.68,24,40,65,
6635.228,45.68,24,40,65,
6635.378,47.39,24,40,65,
6635.378,47.39,24,40,65,
6635.378,47.39,24,40,65,
6635.378,47.39,24,40,65,
6635.386,,,,,25.26
6635.528,48.66,24,40,65,
6635.528,48.66,24,40,65,
6635.528,48.66,24,40,65,
6635.528,48.66,24,40,65,
6635.678,49.9,24,40,65,
6635.678,49.9,24,40,65,
6635.678,49.9,24,40,65,
6635.678,49.9,24,40,65,
6635.828,51.54,24,40,65,
6635.828,51.54,24,40,65,
6635.828,51.54,24,40,65,
6635.828,51.54,24,40,65,
6635.978,52.75,24,40,65,25.22
6635.978,52.75,24,40,65,25.22
6635.978,52.75,24,40,65,25.22
6635.978,52.75,24,40,65,25.22
6635.978,52.75,24,40,65,25.22
6636.128,53.95,24,40,65,
6636.128,53.95,24,40,65,
6636.128,53.95,24,40,65,
6636.128,53.95,24,40,65,
6636.278,55.5,24,40,65,
6636.278,55.5,24,40,65,
6636.278,55.5,24,40,65,
6636.278,55.5,24,40,65,
6636.428,56.65,24,40,65,
6636.428,56.65,24,40,65,
6636.428,56.65,24,40,65,
6636.428,56.65,24,40,65,
6636.578,57.78,24,40,65,25.36
6636.578,57.78,24,40,65,25.36
6636.578,57.78,24,40,65,25.36
6636.578,57.78,24,40,65,25.36
6636.578,57.78,24,40,65,25.36
6636.728,59.26,24,40,65,
6636.728,59.26,24,40,65,
6636.728,59.26,24,40,65,
6636.728,59.26,24,40,65,
6636.878,60.35,24,40,65,
6636.878,60.35,24,40,65,
6636.878,60.35,24,40,65,
6636.878,60.35,24,40,65,
6637.028,61.41,24,40,65,
6637.028,61.41,24,40,65,
6637.028,61.41,24,40,65,
6637.028,61.41,24,40,65,
6637.178,62.79,24,40,65,25.19
6637.178,62.79,24,40,65,25.19
6637.178,62.79,24,40,65,25.19
6637.178,62.79,24,40,65,25.19
6637.178,62.79,24,40,65,25.19
6637.328,63.82,24,40,65,
6637.328,63.82,24,40,65,
6637.328,63.82,24,40,65,
6637.328,63.82,24,40,65,
6637.478,64.83,24,40,65,
6637.478,64.83,24,40,65,
6637.478,64.83,24,40,65,
6637.478,64.83,24,40,65,
6637.629,66.14,24,40,65,
6637.629,66.14,24,40,65,
6637.629,66.14,24,40,65,
6637.629,66.14,24,40,65,
6637.778,67.1,24,40,65,25.32
6637.778,67.1,24,40,65,25.32
6637.778,67.1,24,40,65,25.32
6637.778,67.1,24,40,65,25.32
6637.778,67.1,24,40,65,25.32
6637.928,68.05,24,40,65,
6637.928,68.05,24,40,65,
6637.928,68.05,24,40,65,
6637.928,68.05,24,40,65,
6638.078,69.28,24,40,65,
6638.078,69.28,24,40,65,
6638.078,69.28,24,40,65,
6638.078,69.28,24,40,65,
6638.228,70.2,24.07,40,65,
6638.228,70.2,24.07,40,65,
6638.228,70.2,24.07,40,65,
6638.228,70.2,24.07,40,65,
6638.378,71.1,24.19,40,65,25.26
6638.378,71.1,24.19,40,65,25.26
6638.378,71.1,24.19,40,65,25.26
6638.378,71.1,24.19,40,65,25.26
6638.378,71.1,24.19,40,65,25.26
6638.528,72.28,24.32,40,65,
6638.528,72.28,24.32,40,65,
6638.528,72.28,24.32,40,65,
6638.528,72.28,24.32,40,65,
6638.678,73.16,24.44,40,65,
6638.678,73.16,24.44,40,65,
6638.678,73.16,24.44,40,65,
6638.678,73.16,24.44,40,65,
6638.828,74.01,24.58,40,65,
6638.828,74.01,24.58,40,65,
6638.828,74.01,24.58,40,65,
6638.828,74.01,24.58,40,65,
6638.978,75.13,24.72,40,65,25.45
6638.978,75.13,24.72,40,65,25.45
6638.978,75.13,24.72,40,65,25.45
6638.978,75.13,24.72,40,65,25.45
6638.978,75.13,24.72,40,65,25.45
6639.128,75.94,24.86,40,65,
6639.128,75.94,24.86,40,65,
6639.128,75.94,24.86,40,65,
6639.128,75.94,24.86,40,65,
6639.278,76.72,25,40,65,
6639.278,76.72,25,40,65,
6639.278,76.72,25,40,65,
6639.278,76.72,25,40,65,
6639.429,77.77,25.16,40,65,
6639.429,77.77,25.16,40,65,
6639.429,77.77,25.16,40,65,
6639.429,77.77,25.16,40,65,
6639.579,78.55,25.31,40,65,25.26
6639.579,78.55,25.31,40,65,25.26
6639.579,78.55,25.31,40,65,25.26
6639.579,78.55,25.31,40,65,25.26
6639.579,78.55,25.31,40,65,25.26
6639.729,79.31,25.46,40,65,
6639.729,79.31,25.46,40,65,
6639.729,79.31,25.46,40,65,
6639.729,79.31,25.46,40,65,
6639.879,80.31,25.63,40,65,
6639.879,80.31,25.63,40,65,
6639.879,80.31,25.63,40,65,
6639.879,80.31,25.63,40,65,
6640.029,81.05,25.79,40,65,
6640.029,81.05,25.79,40,65,
6640.029,81.05,25.79,40,65,
6640.029,81.05,25.79,40,65,
6640.179,81.76,25.96,40,65,25.84
6640.179,81.76,25.96,40,65,25.84
6640.179,81.76,25.96,40,65,25.84
6640.179,81.76,25.96,40,65,25.84
6640.179,81.76,25.96,40,65,25.84
6640.329,82.69,26.14,40,65,
6640.329,82.69,26.14,40,65,
6640.329,82.69,26.14,40,65,
6640.329,82.69,26.14,40,65,
6640.48,83.39,26.31,40,65,
6640.48,83.39,26.31,40,65,
6640.48,83.39,26.31,40,65,
6640.48,83.39,26.31,40,65,
6640.629,84.07,26.49,40,65,
6640.629,84.07,26.49,40,65,
6640.629,84.07,26.49,40,65,
6640.629,84.07,26.49,40,65,
6640.779,84.94,26.67,40,65,28.15
6640.779,84.94,26.67,40,65,28.15
6640.779,84.94,26.67,40,65,28.15
6640.779,84.94,26.67,40,65,28.15
6640.779,84.94,26.67,40,65,28.15
6640.929,85.6,26.86,40,65,
6640.929,85.6,26.86,40,65,
6640.929,85.6,26.86,40,65,
6640.929,85.6,26.86,40,65,
6641.079,86.23,27.04,40,65,
6641.079,86.23,27.04,40,65,
6641.079,86.23,27.04,40,65,
6641.079,86.23,27.04,40,65,
6641.229,87.07,27.24,40,65,
6641.229,87.07,27.24,40,65,
6641.229,87.07,27.24,40,65,
6641.229,87.07,27.24,40,65,
6641.379,87.7,27.43,40,65,30.61
6641.379,87.7,27.43,40,65,30.61
6641.379,87.7,27.43,40,65,30.61
6641.379,87.7,27.43,40,65,30.61
6641.379,87.7,27.43,40,65,30.61
6641.529,88.33,27.62,40,65,
6641.529,88.33,27.62,40,65,
6641.529,88.33,27.62,40,65,
6641.529,88.33,27.62,40,65,
6641.679,89.09,27.83,40,65,
6641.679,89.09,27.83,40,65,
6641.679,89.09,27.83,40,65,
6641.679,89.09,27.83,40,65,
6641.829,89.69,28.02,40,65,
6641.829,89.69,28.02,40,65,
6641.829,89.69,28.02,40,65,
6641.829,89.69,28.02,40,65,
6641.979,90.27,28.22,40,65,32.46
6641.979,90.27,28.22,40,65,32.46
6641.979,90.27,28.22,40,65,32.46
6641.979,90.27,28.22,40,65,32.46
6641.979,90.27,28.22,40,65,32.46
6642.13,91.05,28.44,40,65,
6642.13,91.05,28.44,40,65,
6642.13,91.05,28.44,40,65,
6642.13,91.05,28.44,40,65,
6642.28,91.61,28.64,40,65,
6642.28,91.61,28.64,40,65,
6642.28,91.61,28.64,40,65,
6642.28,91.61,28.64,40,65,
6642.43,92.15,28.85,40,65,
6642.43,92.15,28.85,40,65,
6642.43,92.15,28.85,40,65,
6642.43,92.15,28.85,40,65,
6642.58,92.9,29.07,40,65,34.53
6642.58,92.9,29.07,40,65,34.53
6642.58,92.9,29.07,40,65,34.53
6642.58,92.9,29.07,40,65,34.53
6642.58,92.9,29.07,40,65,34.53
6642.73,93.41,29.28,40,65,
6642.73,93.41,29.28,40,65,
6642.73,93.41,29.28,40,65,
6642.73,93.41,29.28,40,65,
6642.88,93.93,29.49,40,65,
6642.88,93.93,29.49,40,65,
6642.88,93.93,29.49,40,65,
6642.88,93.93,29.49,40,65,
6643.03,94.64,29.72,40,65,
6643.03,94.64,29.72,40,65,
6643.03,94.64,29.72,40,65,
6643.03,94.64,29.72,40,65,
6643.153,,,,,37.11
6643.181,95.15,29.94,40,65,
6643.181,95.15,29.94,40,65,
6643.181,95.15,29.94,40,65,
6643.181,95.15,29.94,40,65,
6643.33,95.63,30.15,40,65,
6643.33,95.63,30.15,40,65,
6643.33,95.63,30.15,40,65,
6643.33,95.63,30.15,40,65,
6643.48,96.31,30.39,40,65,
6643.48,96.31,30.39,40,65,
6643.48,96.31,30.39,40,65,
6643.48,96.31,30.39,40,65,
6643.63,96.78,30.61,40,65,38.89
6643.63,96.78,30.61,40,65,38.89
6643.63,96.78,30.61,40,65,38.89
6643.63,96.78,30.61,40,65,38.89
6643.63,96.78,30.61,40,65,38.89
6643.78,97.24,30.82,40,65,
6643.78,97.24,30.82,40,65,
6643.78,97.24,30.82,40,65,
6643.78,97.24,30.82,40,65,
6643.93,97.84,31.06,40,65,
6643.93,97.84,31.06,40,65,
6643.93,97.84,31.06,40,65,
6643.93,97.84,31.06,40,65,
6644.08,98.28,31.28,40,65,
6644.08,98.28,31.28,40,65,
6644.08,98.28,31.28,40,65,
6644.08,98.28,31.28,40,65,
6644.23,98.72,31.51,40,65,
6644.23,98.72,31.51,40,65,
6644.23,98.72,31.51,40,65,
6644.23,98.72,31.51,40,65,
6644.284,,,,,39.88
6644.38,99.3,31.75,40,65,
6644.38,99.3,31.75,40,65,
6644.38,99.3,31.75,40,65,
6644.38,99.3,31.75,40,65,
6644.53,99.75,31.98,40,65,
6644.53,99.75,31.98,40,65,
6644.53,99.75,31.98,40,65,
6644.53,99.75,31.98,40,65,
6644.68,100.16,32.2,40,65,
6644.68,100.16,32.2,40,65,
6644.68,100.16,32.2,40,65,
6644.68,100.16,32.2,40,65,
6644.831,100.72,32.45,40,65,41.51
6644.831,100.72,32.45,40,65,41.51
6644.831,100.72,32.45,40,65,41.51
6644.831,100.72,32.45,40,65,41.51
6644.831,100.72,32.45,40,65,41.51
6644.981,101.13,32.68,40,65,
6644.981,101.13,32.68,40,65,
6644.981,101.13,32.68,40,65,
6644.981,101.13,32.68,40,65,
6645.131,101.56,32.91,40,65,
6645.131,101.56,32.91,40,65,
6645.131,101.56,32.91,40,65,
6645.131,101.56,32.91,40,65,
6645.281,102.1,33.16,40,65,
6645.281,102.1,33.16,40,65,
6645.281,102.1,33.16,40,65,
6645.281,102.1,33.16,40,65,
6645.431,102.48,33.39,40,65,42.94
6645.431,102.48,33.39,40,65,42.94
6645.431,102.48,33.39,40,65,42.94
6645.431,102.48,33.39,40,65,42.94
6645.431,102.48,33.39,40,65,42.94
6645.581,102.85,33.63,40,65,
6645.581,102.85,33.63,40,65,
6645.581,102.85,33.63,40,65,
6645.581,102.85,33.63,40,65,
6645.732,103.38,33.88,40,65,
6645.732,103.38,33.88,40,65,
6645.732,103.38,33.88,40,65,
6645.732,103.38,33.88,40,65,
6645.882,103.76,34.12,40,65,
6645.882,103.76,34.12,40,65,
6645.882,103.76,34.12,40,65,
6645.882,103.76,34.12,40,65,
6646.032,104.13,34.35,40,65,44.25
6646.032,104.13,34.35,40,65,44.25
6646.032,104.13,34.35,40,65,44.25
6646.032,104.13,34.35,40,65,44.25
6646.032,104.13,34.35,40,65,44.25
6646.183,104.6,34.61,40,65,
6646.183,104.6,34.61,40,65,
6646.183,104.6,34.61,40,65,
6646.183,104.6,34.61,40,65,
6646.332,104.95,34.84,40,65,
6646.332,104.95,34.84,40,65,
