timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
8336.015,39.79,24,40,65,24.07
8336.015,39.79,24,40,65,24.07
8336.015,39.79,24,40,65,24.07
8336.015,39.79,24,40,65,24.07
8336.015,39.79,24,40,65,24.07
8336.164,39.78,24,40,65,
8336.164,39.78,24,40,65,
8336.164,39.78,24,40,65,
8336.164,39.78,24,40,65,
8336.314,39.82,24,40,65,
8336.314,39.82,24,40,65,
8336.314,39.82,24,40,65,
8336.314,39.82,24,40,65,
8336.464,40.06,24,40,65,
8336.464,40.06,24,40,65,
8336.464,40.06,24,40,65,
8336.464,40.06,24,40,65,
8336.614,40.56,24,40,65,24.25
8336.614,40.56,24,40,65,24.25
8336.614,40.56,24,40,65,24.25
8336.614,40.56,24,40,65,24.25
8336.614,40.56,24,40,65,24.25
8336.765,41.6,24,40,65,
8336.765,41.6,24,40,65,
8336.765,41.6,24,40,65,
8336.765,41.6,24,40,65,
8336.915,42.58,24,40,65,
8336.915,42.58,24,40,65,
8336.915,42.58,24,40,65,
8336.915,42.58,24,40,65,
8337.065,43.67,24,40,65,
8337.065,43.67,24,40,65,
8337.065,43.67,24,40,65,
8337.065,43.67,24,40,65,
8337.215,45.28,24,40,65,24.19
8337.215,45.28,24,40,65,24.19
8337.215,45.28,24,40,65,24.19
8337.215,45.28,24,40,65,24.19
8337.215,45.28,24,40,65,24.19
8337.365,46.54,24,40,65,
8337.365,46.54,24,40,65,
8337.365,46.54,24,40,65,
8337.365,46.54,24,40,65,
8337.515,47.82,24,40,65,
8337.515,47.82,24,40,65,
8337.515,47.82,24,40,65,
8337.515,47.82,24,40,65,
8337.665,49.55,24,40,65,
8337.665,49.55,24,40,65,
8337.665,49.55,24,40,65,
8337.665,49.55,24,40,65,
8337.815,50.84,24,40,65,24.58
8337.815,50.84,24,40,65,24.58
8337.815,50.84,24,40,65,24.58
8337.815,50.84,24,40,65,24.58
8337.815,50.84,24,40,65,24.58
8337.965,52.12,24,40,65,
8337.965,52.12,24,40,65,
8337.965,52.12,24,40,65,
8337.965,52.12,24,40,65,
8338.115,53.83,24,40,65,
8338.115,53.83,24,40,65,
8338.115,53.83,24,40,65,
8338.115,53.83,24,40,65,
8338.266,55.1,24,40,65,
8338.266,55.1,24,40,65,
8338.266,55.1,24,40,65,
8338.266,55.1,24,40,65,
8338.415,56.34,24,40,65,24.66
8338.415,56.34,24,40,65,24.66
8338.415,56.34,24,40,65,24.66
8338.415,56.34,24,40,65,24.66
8338.415,56.34,24,40,65,24.66
8338.565,57.99,24,40,65,
8338.565,57.99,24,40,65,
8338.565,57.99,24,40,65,
8338.565,57.99,24,40,65,
8338.715,59.22,24,40,65,
8338.715,59.22,24,40,65,
8338.715,59.22,24,40,65,
8338.715,59.22,24,40,65,
8338.865,60.42,24,40,65,
8338.865,60.42,24,40,65,
8338.865,60.42,24,40,65,
8338.865,60.42,24,40,65,
8339.015,61.98,24,40,65,25.1
8339.015,61.98,24,40,65,25.1
8339.015,61.98,24,40,65,25.1
8339.015,61.98,24,40,65,25.1
8339.015,61.98,24,40,65,25.1
8339.165,63.13,24,40,65,
8339.165,63.13,24,40,65,
8339.165,63.13,24,40,65,
8339.165,63.13,24,40,65,
