,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,1100.98,34.32,24.0,62.0,,33.79
1,1101.021,,,,27.22,
2,1101.172,34.33,24.0,62.0,,33.84
3,1101.296,34.55,24.0,62.0,,33.78
4,1101.446,35.06,24.0,62.0,,33.75
5,1101.596,35.98,24.0,62.0,,33.71
6,1101.596,,,,27.28,
7,1101.746,36.91,24.0,62.0,,33.66
8,1101.898,37.96,24.0,62.0,,33.59
9,1102.047,39.39,24.0,62.0,,33.52
10,1102.196,40.57,24.0,62.0,,33.46
11,1102.196,,,,27.28,
12,1102.346,42.04,24.0,62.0,,33.38
13,1102.496,43.3,24.0,62.0,,33.3
14,1102.646,44.76,24.0,62.0,,33.22
15,1102.796,46.0,24.0,62.0,,33.15
16,1102.796,,,,27.33,
17,1102.946,47.45,24.0,62.0,,33.06
18,1103.096,48.64,24.0,62.0,,32.99
19,1103.246,50.08,24.0,62.0,,32.91
20,1103.396,51.28,24.0,62.0,,32.85
21,1103.396,,,,27.32,
22,1103.546,52.69,24.0,62.0,,32.77
23,1103.696,53.82,24.0,62.0,,32.7
24,1103.846,55.18,24.0,62.0,,32.62
25,1103.996,56.51,24.0,62.0,,32.53
26,1103.996,,,,27.35,
27,1104.146,57.61,24.0,62.0,,32.48
28,1104.296,58.89,24.0,62.0,,32.4
29,1104.446,59.95,24.0,62.0,,32.35
30,1104.596,61.19,24.0,62.0,,32.28
31,1104.596,,,,27.43,
32,1104.746,62.19,24.0,62.0,,32.22
33,1104.896,63.38,24.0,62.0,,32.15
34,1105.046,64.39,24.0,62.0,,32.1
35,1105.196,65.55,24.0,62.0,,32.05
36,1105.196,,,,27.61,
37,1105.346,66.49,24.0,62.0,,31.99
38,1105.496,67.6,24.0,62.0,,31.93
39,1105.646,68.51,24.0,62.0,,31.89
40,1105.796,69.57,24.0,62.0,,31.83
41,1105.796,,,,27.66,
42,1105.946,70.43,24.01,62.0,,31.77
43,1106.096,71.49,24.16,62.0,,31.72
44,1106.246,72.34,24.32,62.0,,31.66
45,1106.396,73.3,24.49,62.0,,31.61
46,1106.396,,,,27.73,
47,1106.546,74.11,24.66,62.0,,31.56
48,1106.696,75.03,24.84,62.0,,31.49
49,1106.846,75.8,25.02,62.0,,31.45
50,1106.996,76.72,25.21,62.0,,31.4
51,1106.996,,,,27.94,
52,1107.147,77.46,25.4,62.0,,31.37
53,1107.296,78.32,25.6,62.0,,31.31
54,1107.446,79.04,25.8,62.0,,31.28
55,1107.596,79.87,26.01,62.0,,31.23
56,1107.596,,,,28.13,
57,1107.746,80.71,26.23,62.0,,31.18
58,1107.896,81.37,26.44,62.0,,31.15
59,1108.064,82.11,26.69,62.0,,31.11
60,1108.216,82.84,26.91,62.0,,31.07
61,1108.249,,,,28.62,
62,1108.364,83.63,27.15,62.0,,31.04
63,1108.514,84.23,27.37,62.0,,31.0
64,1108.664,84.92,27.61,62.0,,30.94
65,1108.814,85.66,27.85,62.0,,30.91
66,1108.814,,,,29.57,
67,1108.964,86.21,28.09,62.0,,30.88
68,1109.114,86.92,28.34,62.0,,30.84
69,1109.264,87.46,28.58,62.0,,30.82
70,1109.414,88.14,28.84,62.0,,30.77
71,1109.422,,,,30.87,
72,1109.564,88.7,29.08,62.0,,30.75
73,1109.714,89.32,29.34,62.0,,30.72
74,1109.864,89.85,29.6,62.0,,30.68
75,1110.014,90.44,29.86,62.0,,30.66
76,1110.014,,,,32.1,
77,1110.164,90.98,30.12,62.0,,30.62
78,1110.314,91.59,30.39,62.0,,30.6
79,1110.466,92.07,30.65,62.0,,30.56
80,1110.615,92.66,30.92,62.0,,30.55
81,1110.615,,,,33.31,
82,1110.765,93.13,31.19,62.0,,30.52
83,1110.917,93.69,31.46,62.0,,30.5
84,1111.065,94.14,31.73,62.0,,30.48
85,1111.215,94.7,32.01,62.0,,30.44
86,1111.215,,,,34.32,
87,1111.365,95.13,32.28,62.0,,30.42
88,1111.515,95.65,32.56,62.0,,30.4
89,1111.665,96.09,32.84,62.0,,30.38
90,1111.815,96.6,33.12,62.0,,30.37
91,1111.815,,,,35.55,
92,1111.965,97.02,33.4,62.0,,30.33
93,1112.115,97.47,33.68,62.0,,30.35
94,1112.265,97.98,33.98,62.0,,30.32
95,1112.415,98.33,34.25,62.0,,30.28
96,1112.415,,,,36.56,
97,1112.565,98.81,34.54,62.0,,30.27
98,1112.715,99.18,34.82,62.0,,30.25
99,1112.865,99.68,35.12,62.0,,30.23
100,1113.015,100.03,35.4,62.0,,30.22
