timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
5133.2,31.51,24,40,65,28.3
5133.2,31.51,24,40,65,28.3
5133.2,31.51,24,40,65,28.3
5133.2,31.51,24,40,65,28.3
5133.349,31.5,24,40,65,28.3
5133.349,31.5,24,40,65,28.3
5133.349,31.5,24,40,65,28.3
5133.349,31.5,24,40,65,28.3
5133.5,31.53,24,40,65,28.3
5133.5,31.53,24,40,65,28.3
5133.5,31.53,24,40,65,28.3
5133.5,31.53,24,40,65,28.3
5133.5,31.53,24,40,65,28.3
5133.65,31.67,24,40,65,
5133.65,31.67,24,40,65,
5133.65,31.67,24,40,65,
5133.65,31.67,24,40,65,
5133.8,32.06,24,40,65,
5133.8,32.06,24,40,65,
5133.8,32.06,24,40,65,
5133.8,32.06,24,40,65,
5133.95,32.93,24,40,65,
5133.95,32.93,24,40,65,
5133.95,32.93,24,40,65,
5133.95,32.93,24,40,65,
5134.1,33.83,24,40,65,28.39
5134.1,33.83,24,40,65,28.39
5134.1,33.83,24,40,65,28.39
5134.1,33.83,24,40,65,28.39
5134.1,33.83,24,40,65,28.39
5134.25,34.87,24,40,65,
5134.25,34.87,24,40,65,
5134.25,34.87,24,40,65,
5134.25,34.87,24,40,65,
5134.401,36.38,24,40,65,
5134.401,36.38,24,40,65,
5134.401,36.38,24,40,65,
5134.401,36.38,24,40,65,
5134.55,37.59,24,40,65,
5134.55,37.59,24,40,65,
5134.55,37.59,24,40,65,
5134.55,37.59,24,40,65,
5134.7,38.82,24,40,65,28.42
5134.7,38.82,24,40,65,28.42
5134.7,38.82,24,40,65,28.42
5134.7,38.82,24,40,65,28.42
5134.7,38.82,24,40,65,28.42
5134.85,40.49,24,40,65,
5134.85,40.49,24,40,65,
5134.85,40.49,24,40,65,
5134.85,40.49,24,40,65,
5135,41.75,24,40,65,
5135,41.75,24,40,65,
5135,41.75,24,40,65,
5135,41.75,24,40,65,
5135.15,43,24,40,65,
5135.15,43,24,40,65,
5135.15,43,24,40,65,
5135.15,43,24,40,65,
5135.301,44.66,24,40,65,28.33
5135.301,44.66,24,40,65,28.33
5135.301,44.66,24,40,65,28.33
5135.301,44.66,24,40,65,28.33
5135.301,44.66,24,40,65,28.33
5135.451,45.9,24,40,65,
5135.451,45.9,24,40,65,
5135.451,45.9,24,40,65,
5135.451,45.9,24,40,65,
5135.601,47.12,24,40,65,
5135.601,47.12,24,40,65,
5135.601,47.12,24,40,65,
5135.601,47.12,24,40,65,
5135.751,48.74,24,40,65,
5135.751,48.74,24,40,65,
5135.751,48.74,24,40,65,
5135.751,48.74,24,40,65,
5135.901,49.94,24,40,65,28.38
5135.901,49.94,24,40,65,28.38
5135.901,49.94,24,40,65,28.38
5135.901,49.94,24,40,65,28.38
5135.901,49.94,24,40,65,28.38
5136.051,51.11,24,40,65,
5136.051,51.11,24,40,65,
5136.051,51.11,24,40,65,
5136.051,51.11,24,40,65,
5136.201,52.65,24,40,65,
5136.201,52.65,24,40,65,
5136.201,52.65,24,40,65,
5136.201,52.65,24,40,65,
5136.351,53.79,24,40,65,
5136.351,53.79,24,40,65,
5136.351,53.79,24,40,65,
5136.351,53.79,24,40,65,
5136.502,54.92,24,40,65,
5136.502,54.92,24,40,65,
5136.502,54.92,24,40,65,
5136.502,54.92,24,40,65,
5136.604,,,,,28.36
5136.651,56.38,24,40,65,
5136.651,56.38,24,40,65,
5136.651,56.38,24,40,65,
5136.651,56.38,24,40,65,
5136.801,57.47,24,40,65,
5136.801,57.47,24,40,65,
5136.801,57.47,24,40,65,
5136.801,57.47,24,40,65,
5136.951,58.54,24,40,65,
