timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
405.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.076,19.41,19.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.087,,,,,,,,19.89,19.89,,,55,,,,0.71,0.03,0,,30.73,,,,,,,,,,,,,
478.096,,,,18.26,,,18.82,,,,,,,,,,,,,,,,,,,,,,,,,,
478.176,19.41,19.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.2,,,,,,,,19.89,19.89,,,55,,,,2.4,0.14,0,,32.85,,,,,,,,,,,,,
478.276,19.5,19.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.287,,,,,,,,19.96,19.89,,,55,,,,3.72,0.34,0,,34.79,,,,,,,,,,,,,
478.377,19.62,19.43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.404,,,,,,,,20.11,19.89,,,55,,,,5.44,0.64,0,,37.24,,,,,,,,,,,,,
478.478,19.8,19.46,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.489,,,,,,,,20.26,19.92,,,55,,,,6.67,1.01,0,,39.25,,,,,,,,,,,,,
478.588,20.02,19.51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.606,,,,,,,,20.53,19.97,,,55,,,,8.29,1.48,0,,41.81,,,,,,,,,,,,,
478.687,20.26,19.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.711,,,,,,,,20.81,20.06,,,55,,,,9.62,2.03,0,,44.11,,,,,,,,,,,,,
478.787,20.56,19.73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.799,,,,,,,,21.11,20.2,,,55,,,,10.61,2.65,0,,46.13,,,,,,,,,,,,,
478.888,20.87,19.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.907,,,,,,,,21.48,20.38,,,55,,,,11.79,3.34,0,,48.43,,,,,,,,,,,,,
478.993,21.24,20.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.005,,,,,,,,21.91,20.6,,,55,,,,12.68,4.08,0,,50.49,,,,,,,,,,,,,
