,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,4685.912,,,,34.53,
1,4686.565,,,,34.54,
2,4686.925,,,,34.51,
3,4687.765,,,,34.61,
4,4688.213,,,,34.53,
5,4688.92,,,,34.58,
6,4689.281,39.02,38.91,90.0,,38.6
7,4690.152,,,,34.55,
8,4690.763,,,,34.73,
9,4691.392,,,,34.87,
10,4691.963,,,,35.04,
11,4692.562,,,,35.26,
12,4689.43,39.01,38.91,90.0,,38.6
13,4689.579,39.02,38.9,90.0,35.55,38.59
14,4689.754,39.27,38.92,90.0,,38.57
15,4689.903,39.84,38.99,90.0,,38.52
16,4690.054,40.44,39.13,90.0,,38.48
17,4690.22,41.93,39.4,90.0,,38.38
18,4690.37,43.38,39.77,90.0,,38.29
19,4697.378,,,,36.01,
20,4690.52,44.84,40.25,90.0,,38.21
21,4690.687,46.4,40.8,90.0,,38.13
22,4699.226,,,,36.52,
23,4690.837,48.11,41.46,90.0,,38.03
24,4691.014,49.78,42.18,90.0,,37.94
25,4691.163,51.55,42.98,90.0,,37.86
26,4691.313,53.26,43.83,90.0,,37.78
27,4691.463,55.06,44.73,90.0,,37.7
28,4702.903,,,,37.4,
29,4691.613,56.78,45.68,90.0,,37.62
30,4691.77,58.96,46.71,90.0,,37.52
31,4691.92,60.15,47.7,90.0,,37.47
32,4692.07,62.36,48.78,90.0,,37.39
33,4692.237,64.04,49.85,90.0,,37.32
34,4692.388,65.69,50.93,90.0,,37.27
35,4707.328,,,,38.63,
36,4692.554,67.21,52.01,90.0,,37.21
37,4692.704,68.81,53.08,90.0,,37.15
38,4692.872,70.82,54.18,90.0,,37.08
39,4693.022,72.38,55.29,90.0,,37.03
40,4693.171,73.86,56.4,90.0,41.02,36.99
41,4693.321,75.2,57.49,90.0,,36.95
42,4693.471,76.48,58.55,90.0,,36.91
43,4693.621,78.18,59.65,90.0,,36.86
44,4693.771,79.43,60.7,90.0,48.64,36.83
45,4693.921,80.67,61.74,90.0,,36.8
46,4694.071,82.29,62.8,90.0,,36.75
47,4694.221,83.47,63.83,90.0,,36.73
48,4694.371,84.62,64.84,90.0,64.41,36.71
49,4694.521,86.13,65.87,90.0,,36.67
50,4694.671,87.23,66.87,90.0,,36.65
51,4717.271,,,,73.08,
52,4694.821,88.34,67.85,90.0,,36.63
53,4718.375,,,,78.5,
54,4694.971,89.77,68.85,90.0,80.99,36.6
55,4695.121,90.83,69.82,90.0,,36.58
56,4695.271,91.89,70.77,90.0,,36.57
57,4695.421,93.2,71.74,90.0,,36.55
58,4695.571,94.19,72.68,90.0,82.94,36.54
59,4695.721,95.16,73.6,90.0,,36.52
60,4695.871,96.39,74.53,90.0,,36.52
61,4696.021,97.27,75.43,90.0,,36.5
62,4696.171,98.11,76.31,90.0,84.86,36.49
63,4696.321,99.2,77.19,90.0,,36.48
64,4696.471,99.99,78.05,90.0,,36.47
65,4696.621,100.7,78.87,90.0,,36.47
66,4696.771,101.63,79.69,90.0,87.49,36.46
67,4696.922,102.3,80.49,90.0,,36.46
68,4697.073,102.97,81.26,90.0,,36.45
69,4697.222,103.87,82.03,90.0,,36.46
70,4697.372,104.52,82.78,90.0,,36.45
71,4697.523,105.16,83.51,90.0,,36.45
72,4697.672,106.06,84.26,90.0,,36.45
73,4730.547,,,,89.68,
74,4697.823,106.73,84.99,90.0,,36.45
75,4697.977,107.36,85.7,90.0,91.17,36.46
76,4698.127,108.21,86.42,90.0,,36.46
77,4698.277,108.82,87.13,90.0,,36.46
78,4698.427,109.29,87.81,90.0,,36.47
79,4698.577,109.43,88.44,90.0,92.22,36.54
80,4698.728,109.07,88.97,90.0,,36.67
81,4698.879,108.38,89.37,90.0,,36.84
82,4699.024,107.06,89.62,90.0,,37.13
83,4699.174,105.85,89.72,90.0,,37.38
84,4737.205,,,,92.73,
85,4699.325,104.54,89.69,90.0,,37.64
86,4699.475,102.91,89.55,90.0,,37.95
87,4699.625,102.01,89.34,90.0,,38.14
88,4699.775,101.37,89.14,90.0,92.77,38.26
89,4699.925,100.88,88.96,90.0,,38.38
90,4700.075,100.69,88.82,90.0,,38.44
91,4700.225,100.6,88.73,90.0,,38.48
92,4700.375,100.64,88.69,90.0,92.69,38.51
93,4700.525,100.73,88.71,90.0,,38.53
94,4700.675,100.84,88.76,90.0,,38.54
95,4743.843,,,,92.4,
96,4700.825,100.97,88.85,90.0,,38.54
97,4700.975,101.07,88.97,90.0,92.24,38.54
98,4701.125,101.15,89.11,90.0,,38.53
99,4701.275,101.24,89.26,90.0,,38.52
100,4701.425,101.3,89.43,90.0,,38.52
101,4701.575,101.33,89.59,90.0,91.91,38.51
102,4701.725,101.32,89.75,90.0,,38.5
103,4701.875,101.26,89.91,90.0,,38.5
