,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,55.276,26.43,24.0,62.0,,27.44
1,55.413,26.45,24.0,62.0,,27.46
2,55.564,26.59,24.0,62.0,,27.44
3,55.712,27.06,24.0,62.0,,27.41
4,55.753,,,,22.22,
5,55.862,27.69,24.0,62.0,,27.39
6,56.012,28.56,24.0,62.0,,27.31
7,56.163,29.75,24.0,62.0,,27.24
8,56.312,30.84,24.0,62.0,,27.16
9,56.462,32.21,24.0,62.0,,27.04
10,56.612,33.42,24.0,62.0,,26.98
11,56.762,34.92,24.0,62.0,,26.9
12,56.912,36.12,24.0,62.0,,26.82
13,56.912,,,,22.23,
14,57.062,37.64,24.0,62.0,,26.71
15,57.212,38.89,24.0,62.0,,26.63
16,57.362,40.35,24.0,62.0,,26.56
17,57.512,41.58,24.0,62.0,,26.47
18,57.662,43.05,24.0,62.0,,26.4
19,57.812,44.27,24.0,62.0,,26.3
20,57.962,45.69,24.0,62.0,,26.24
21,58.142,46.85,24.0,62.0,,26.13
22,58.289,48.42,24.0,62.0,,26.1
23,58.439,49.54,24.0,62.0,,26.02
24,58.589,50.86,24.0,62.0,,25.94
25,58.739,51.94,24.0,62.0,,25.87
26,58.739,,,,22.2,
27,58.889,53.22,24.0,62.0,,25.81
28,59.039,54.33,24.0,62.0,,25.73
29,59.189,55.56,24.0,62.0,,25.72
30,59.339,56.58,24.0,62.0,,25.62
31,59.339,,,,22.19,
32,59.489,57.76,24.0,62.0,,25.56
33,59.639,58.75,24.0,62.0,,25.55
34,59.789,59.92,24.0,62.0,,25.51
35,59.939,60.84,24.0,62.0,,25.46
36,59.939,,,,22.24,
37,60.089,61.97,24.0,62.0,,25.4
38,60.239,62.9,24.07,62.0,,25.38
39,60.389,63.95,24.19,62.0,,25.34
40,60.539,65.02,24.33,62.0,,25.29
41,60.539,,,,22.24,
42,60.689,65.89,24.47,62.0,,25.24
43,60.839,66.92,24.61,62.0,,25.17
44,60.989,67.77,24.77,62.0,,25.13
45,61.139,68.77,24.93,62.0,,25.11
46,61.139,,,,22.26,
47,61.289,69.59,25.09,62.0,,25.03
48,61.439,70.52,25.26,62.0,,25.01
49,61.589,71.3,25.43,62.0,,24.95
50,61.739,72.23,25.62,62.0,,24.9
51,61.739,,,,22.29,
52,61.889,72.98,25.8,62.0,,24.9
53,62.039,73.87,26.0,62.0,,24.84
54,62.189,74.59,26.19,62.0,,24.8
55,62.339,75.43,26.39,62.0,,24.77
56,62.339,,,,22.35,
57,62.489,76.16,26.59,62.0,,24.74
58,62.639,76.97,26.8,62.0,,24.74
59,62.789,77.65,27.01,62.0,,24.69
60,62.939,78.45,27.23,62.0,,24.69
61,62.939,,,,24.58,
62,63.089,79.11,27.45,62.0,,24.66
63,63.239,79.89,27.68,62.0,,24.64
64,63.39,80.52,27.9,62.0,,24.63
65,63.539,81.28,28.14,62.0,,24.59
66,63.539,,,,26.44,
67,63.689,81.88,28.37,62.0,,24.59
68,63.839,82.62,28.61,62.0,,24.56
69,63.989,83.2,28.84,62.0,,24.57
70,64.139,83.91,29.09,62.0,,24.53
71,64.139,,,,26.46,
