,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,880.944,22.91,24.0,62.0,,22.86
1,881.094,22.93,24.0,62.0,,22.87
2,881.244,23.1,24.0,62.0,,22.86
3,881.394,23.62,24.0,62.0,,22.86
4,881.544,24.78,24.0,62.0,,22.8
5,881.694,25.89,24.0,62.0,,22.75
6,881.694,,,,20.63,
7,881.844,27.12,24.0,62.0,,22.69
8,881.995,28.86,24.0,62.0,,22.6
9,882.144,30.22,24.0,62.0,,22.54
10,882.294,31.57,24.0,62.0,,22.47
11,882.444,33.38,24.0,62.0,,22.39
12,882.594,34.73,24.0,62.0,,22.32
13,882.744,36.07,24.0,62.0,,22.24
14,882.894,37.82,24.0,62.0,,22.15
15,883.044,39.11,24.0,62.0,,22.09
16,883.194,40.38,24.0,62.0,,22.02
17,883.344,42.05,24.0,62.0,,21.93
18,883.494,43.28,24.0,62.0,,21.87
19,883.644,44.5,24.0,62.0,,21.82
20,883.794,46.08,24.0,62.0,,21.74
21,883.944,47.24,24.0,62.0,,21.68
22,884.094,48.37,24.0,62.0,,21.63
23,884.244,49.91,24.0,62.0,,21.57
24,884.394,51.01,24.0,62.0,,21.52
25,884.544,52.09,24.0,62.0,,21.46
26,884.695,53.51,24.0,62.0,,21.4
27,884.844,54.57,24.0,62.0,,21.35
28,884.994,55.59,24.0,62.0,,21.31
29,885.144,56.94,24.0,62.0,,21.25
30,885.295,57.95,24.0,62.0,,21.22
31,885.444,58.94,24.0,62.0,,21.17
32,885.594,60.22,24.0,62.0,,21.12
33,885.744,61.16,24.0,62.0,,21.08
34,885.894,62.11,24.04,62.0,,21.04
35,886.044,63.34,24.16,62.0,,21.0
36,886.194,64.22,24.29,62.0,,20.96
37,886.344,65.12,24.43,62.0,,20.92
38,886.494,66.28,24.57,62.0,,20.89
39,886.644,67.12,24.72,62.0,,20.85
40,886.794,67.95,24.87,62.0,,20.81
41,886.944,69.05,25.04,62.0,,20.76
42,887.094,69.88,25.2,62.0,,20.75
43,887.244,70.66,25.37,62.0,,20.72
44,887.394,71.71,25.55,62.0,,20.68
45,887.544,72.53,25.73,62.0,,20.66
46,887.694,73.27,25.91,62.0,,20.64
47,887.694,,,,20.74,
48,887.844,74.24,26.11,62.0,,20.61
49,887.994,74.95,26.3,62.0,,20.59
50,888.144,75.71,26.5,62.0,,20.56
51,888.294,76.66,26.71,62.0,,20.53
52,888.444,77.34,26.91,62.0,,20.51
53,888.594,78.02,27.12,62.0,,20.5
54,888.744,78.91,27.35,62.0,,20.47
55,888.894,79.55,27.56,62.0,,20.46
56,889.044,80.21,27.78,62.0,,20.44
57,889.194,81.1,28.02,62.0,,20.43
58,889.344,81.74,28.24,62.0,,20.42
59,889.494,82.34,28.47,62.0,,20.4
60,889.494,,,,21.26,
61,889.644,83.14,28.71,62.0,,20.38
62,889.794,83.73,28.95,62.0,,20.38
63,889.944,84.34,29.18,62.0,,20.36
64,890.094,85.08,29.44,62.0,,20.34
65,890.094,,,,22.21,
66,890.244,85.67,29.68,62.0,,20.33
67,890.394,86.22,29.92,62.0,,20.32
68,890.544,86.96,30.19,62.0,,20.33
69,890.695,87.48,30.44,62.0,,20.31
70,890.695,,,,23.61,
71,890.845,88.03,30.69,62.0,,20.3
72,890.994,88.58,30.94,62.0,,20.3
73,891.144,89.26,31.22,62.0,,20.29
74,891.294,89.76,31.47,62.0,,20.28
75,891.294,,,,25.03,
76,891.444,90.26,31.73,62.0,,20.29
77,891.594,90.92,32.01,62.0,,20.28
78,891.744,91.4,32.27,62.0,,20.28
79,891.895,91.89,32.53,62.0,,20.27
80,891.917,,,,26.23,
81,892.044,92.52,32.82,62.0,,20.27
82,892.194,93.0,33.09,62.0,,20.27
83,892.344,93.43,33.35,62.0,,20.27
84,892.494,94.06,33.65,62.0,,20.27
85,892.494,,,,27.29,
86,892.644,94.5,33.92,62.0,,20.27
87,892.794,94.93,34.19,62.0,,20.27
88,892.944,95.5,34.49,62.0,,20.28
89,893.094,95.92,34.76,62.0,,20.28
90,893.094,,,,28.32,
91,893.245,96.34,35.03,62.0,,20.28
92,893.394,96.91,35.34,62.0,,20.29
93,893.544,97.29,35.61,62.0,,20.29
94,893.695,97.68,35.89,62.0,,20.31
95,893.695,,,,29.83,
96,893.844,98.18,36.18,62.0,,20.31
97,893.994,98.56,36.46,62.0,,20.31
98,894.144,98.94,36.74,62.0,,20.32
99,894.294,99.46,37.05,62.0,,20.32
100,894.294,,,,31.67,
101,894.444,99.79,37.32,62.0,,20.34
102,894.594,100.22,37.62,62.0,,20.35
103,894.744,100.71,37.93,62.0,,20.36
104,894.894,101.0,38.2,62.0,,20.36
105,894.894,,,,32.97,
106,895.044,101.35,38.48,62.0,,20.36
107,895.194,101.83,38.8,62.0,,20.38
108,895.344,102.16,39.08,62.0,,20.38
109,895.494,102.52,39.37,62.0,,20.4
110,895.494,,,,33.97,
111,895.645,102.94,39.67,62.0,,20.41
112,895.795,103.28,39.96,62.0,,20.42
113,895.945,103.6,40.25,62.0,,20.44
114,896.095,104.05,40.57,62.0,,20.45
115,896.095,,,,35.04,
116,896.245,104.32,40.84,62.0,,20.47
117,896.396,104.64,41.13,62.0,,20.47
118,896.545,105.02,41.44,62.0,,20.49
119,896.696,105.37,41.74,62.0,,20.51
120,896.696,,,,36.05,
121,896.845,105.66,42.02,62.0,,20.53
122,896.995,106.08,42.34,62.0,,20.54
123,897.145,106.37,42.63,62.0,,20.55
124,897.295,106.65,42.92,62.0,,20.57
125,897.295,,,,37.07,
126,897.445,107.0,43.22,62.0,,20.58
127,897.595,107.33,43.52,62.0,,20.61
128,897.745,107.57,43.8,62.0,,20.61
129,897.895,107.96,44.12,62.0,,20.65
130,897.895,,,,37.92,
131,898.045,108.23,44.41,62.0,,20.65
132,898.195,108.49,44.7,62.0,,20.67
133,898.345,108.82,45.01,62.0,,20.69
134,898.496,109.11,45.3,62.0,,20.71
135,898.588,,,,38.88,
136,898.646,109.35,45.58,62.0,,20.73
137,898.796,109.6,45.87,62.0,,20.75
138,898.944,109.95,46.19,62.0,,20.76
139,899.094,110.12,46.45,62.0,,20.78
140,899.094,,,,39.75,
141,899.245,110.53,46.79,62.0,,20.81
142,899.394,110.72,47.06,62.0,,20.84
143,899.545,110.96,47.35,62.0,,20.85
144,899.695,111.17,47.63,62.0,,20.88
145,899.704,,,,40.72,
146,899.844,111.35,47.89,62.0,,20.91
147,899.994,111.57,48.18,62.0,,20.92
148,900.144,111.74,48.45,62.0,,20.95
149,900.294,111.85,48.69,62.0,,20.97
150,900.294,,,,41.56,
151,900.444,111.98,48.95,62.0,,21.0
152,900.594,112.08,49.19,62.0,,21.02
153,900.744,112.18,49.43,62.0,,21.05
154,900.895,112.26,49.67,62.0,,21.07
155,901.044,112.3,49.89,62.0,,21.1
156,901.044,,,,42.42,
157,901.194,112.37,50.12,62.0,,21.14
158,901.345,112.42,50.35,62.0,,21.17
159,901.494,112.46,50.57,62.0,,21.2
160,901.644,112.54,50.8,62.0,,21.22
161,901.644,,,,43.24,
162,901.794,112.56,51.02,62.0,,21.24
163,901.945,112.54,51.21,62.0,,21.28
164,902.094,112.58,51.43,62.0,,21.31
165,902.244,112.62,51.65,62.0,,21.34
166,902.244,,,,44.11,
167,902.394,112.65,51.86,62.0,,21.37
168,902.544,112.62,52.06,62.0,,21.4
169,902.695,112.67,52.27,62.0,,21.43
170,902.844,112.64,52.46,62.0,,21.45
171,902.844,,,,44.91,
172,902.995,112.69,52.68,62.0,,21.48
173,903.144,112.75,52.9,62.0,,21.51
174,903.294,112.75,53.1,62.0,,21.54
175,903.444,112.76,53.3,62.0,,21.57
176,903.444,,,,45.59,
177,903.594,112.74,53.49,62.0,,21.59
178,903.745,112.71,53.68,62.0,,21.63
179,903.894,112.76,53.89,62.0,,21.65
180,904.045,112.76,54.09,62.0,,21.7
181,904.045,,,,46.33,
182,904.194,112.77,54.28,62.0,,21.71
183,904.344,112.81,54.49,62.0,,21.75
184,904.494,112.81,54.68,62.0,,21.78
185,904.644,112.83,54.89,62.0,,21.8
186,904.644,,,,47.14,
187,904.794,112.87,55.09,62.0,,21.83
188,904.944,112.95,55.31,62.0,,21.86
189,905.094,112.92,55.49,62.0,,21.89
190,905.244,112.91,55.67,62.0,,21.92
191,905.252,,,,47.89,
192,905.395,112.9,55.86,62.0,,21.96
193,905.544,112.93,56.06,62.0,,21.98
194,905.695,112.94,56.24,62.0,,22.01
195,905.845,112.93,56.41,62.0,,22.03
196,905.845,,,,48.6,
197,905.994,113.01,56.58,62.0,,22.07
198,906.144,112.98,56.75,62.0,,22.09
199,906.294,112.98,56.92,62.0,,22.12
200,906.444,113.0,57.09,62.0,,22.17
201,906.444,,,,49.29,
202,906.594,113.02,57.26,62.0,,22.18
203,906.744,113.04,57.43,62.0,,22.21
204,906.894,113.05,57.6,62.0,,22.24
205,907.044,113.02,57.77,62.0,,22.26
206,907.044,,,,50.08,
207,907.194,113.02,57.94,62.0,,22.3
208,907.344,113.02,58.1,62.0,,22.33
209,907.495,113.07,58.27,62.0,,22.36
210,907.644,113.07,58.44,62.0,,22.38
211,907.644,,,,50.66,
212,907.794,113.08,58.6,62.0,,22.42
213,907.944,113.05,58.77,62.0,,22.44
214,908.094,113.08,58.93,62.0,,22.48
215,908.244,113.11,59.09,62.0,,22.5
216,908.244,,,,51.34,
