,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,5462.264,30.77,30.75,55.0,,30.77
1,5462.359,,,,27.36,
2,5462.414,30.77,30.75,55.0,,30.8
3,5462.571,30.87,30.76,55.0,,30.77
4,5462.716,31.21,30.8,55.0,,30.75
5,5462.866,31.88,30.9,55.0,,30.71
6,5462.962,,,,27.45,
7,5463.021,32.82,31.09,55.0,,30.67
8,5463.172,34.08,31.38,55.0,,30.6
9,5463.316,35.98,31.83,55.0,,30.52
10,5463.466,37.46,32.37,55.0,,30.45
11,5463.532,,,,27.64,
12,5463.616,39.05,32.98,55.0,,30.39
13,5463.769,41.23,33.71,55.0,,30.31
14,5463.918,42.91,34.52,55.0,,30.24
15,5464.068,44.63,35.39,55.0,,30.17
16,5464.121,,,,27.88,
17,5464.219,46.27,36.29,55.0,,30.12
18,5464.371,48.43,37.25,55.0,,30.03
19,5464.529,50.17,38.22,55.0,,29.97
20,5464.67,51.81,39.26,55.0,,29.92
21,5464.67,,,,27.98,
22,5464.82,53.35,40.3,55.0,,29.86
23,5464.974,55.39,41.36,55.0,,29.79
24,5465.12,56.89,42.44,55.0,,29.74
25,5465.27,58.37,43.51,55.0,,29.7
26,5465.27,,,,28.28,
27,5465.424,60.31,44.59,55.0,,29.63
28,5465.57,61.73,45.69,55.0,,29.6
29,5465.72,63.14,46.76,55.0,,29.56
30,5465.874,64.56,47.83,55.0,,29.53
31,5465.874,,,,28.66,
32,5466.026,66.37,48.93,55.0,,29.48
33,5466.176,67.71,50.01,55.0,,29.45
34,5466.33,68.91,51.05,55.0,,29.41
35,5466.48,69.76,52.03,55.0,,29.42
36,5466.48,,,,29.09,
37,5466.626,70.12,52.92,55.0,,29.5
38,5466.776,69.85,53.66,55.0,,29.61
39,5466.93,69.29,54.23,55.0,,29.77
40,5467.078,68.24,54.6,55.0,,30.02
41,5467.078,,,,29.52,
42,5467.223,67.29,54.84,55.0,,30.23
43,5467.378,66.26,54.95,55.0,,30.45
44,5467.525,65.19,54.95,55.0,,30.66
45,5467.672,63.9,54.85,55.0,,30.94
46,5467.672,,,,29.86,
47,5467.818,63.36,54.71,55.0,,31.09
48,5467.968,63.08,54.59,55.0,,31.18
49,5468.122,62.94,54.5,55.0,,31.27
50,5468.268,62.9,54.45,55.0,,31.31
51,5468.275,,,,30.39,
52,5468.418,62.9,54.43,55.0,,31.34
53,5468.572,62.91,54.45,55.0,,31.36
54,5468.723,62.9,54.48,55.0,,31.38
55,5468.869,62.83,54.52,55.0,,31.4
56,5468.869,,,,30.83,
57,5469.019,62.76,54.58,55.0,,31.41
58,5469.173,62.67,54.63,55.0,,31.41
59,5469.324,62.55,54.68,55.0,,31.42
60,5469.47,62.38,54.73,55.0,,31.42
61,5469.47,,,,31.53,
62,5469.619,62.24,54.77,55.0,,31.42
63,5469.774,62.11,54.82,55.0,,31.42
64,5469.921,61.91,54.85,55.0,,31.42
65,5470.07,61.76,54.88,55.0,,31.42
66,5470.07,,,,32.32,
67,5470.22,61.61,54.9,55.0,,31.41
68,5470.375,61.46,54.92,55.0,,31.41
69,5470.522,61.24,54.93,55.0,,31.41
70,5470.671,61.09,54.94,55.0,,31.41
71,5470.671,,,,33.66,
72,5470.825,60.94,54.95,55.0,,31.41
73,5470.976,60.78,54.96,55.0,,31.41
74,5471.122,60.57,54.95,55.0,,31.4
75,5471.273,60.41,54.95,55.0,,31.4
76,5471.273,,,,35.95,
77,5471.426,60.26,54.94,55.0,,31.39
78,5471.577,60.1,54.94,55.0,,31.39
79,5471.765,59.86,54.92,55.0,,31.39
80,5471.915,59.68,54.9,55.0,,31.37
81,5471.915,,,,40.22,
82,5472.065,59.54,54.88,55.0,,31.37
83,5472.215,59.38,54.85,55.0,,31.36
84,5472.365,59.28,54.84,55.0,,31.36
85,5472.515,59.19,54.83,55.0,,31.36
86,5472.515,,,,42.89,
87,5472.665,59.08,54.82,55.0,,31.35
88,5472.816,59.02,54.81,55.0,,31.34
89,5472.965,58.96,54.82,55.0,,31.33
90,5473.12,58.91,54.82,55.0,,31.33
91,5473.12,,,,45.45,
92,5473.266,58.85,54.83,55.0,,31.31
93,5473.416,58.8,54.84,55.0,,31.31
94,5473.57,58.76,54.86,55.0,,31.3
95,5473.721,58.72,54.88,55.0,,31.29
96,5473.721,,,,47.33,
97,5473.867,58.67,54.9,55.0,,31.29
