,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,1795.684,35.46,35.45,55.0,,35.19
1,1795.684,,,,24.54,
2,1795.834,35.44,35.45,55.0,,35.17
3,1795.984,35.52,35.45,55.0,,35.13
4,1796.134,35.86,35.48,55.0,,35.1
5,1796.134,,,,24.25,
6,1796.284,36.49,35.57,55.0,,35.06
7,1796.434,37.52,35.75,55.0,,34.99
8,1796.584,38.8,36.03,55.0,,34.94
9,1796.733,40.21,36.42,55.0,,34.86
10,1796.884,41.77,36.92,55.0,,34.78
11,1796.884,,,,25.84,
12,1797.034,43.45,37.51,55.0,,34.72
13,1797.184,45.11,38.18,55.0,,34.67
14,1797.334,46.76,38.92,55.0,,34.6
15,1797.484,48.41,39.73,55.0,,34.52
16,1797.484,,,,26.5,
17,1797.634,50.12,40.59,55.0,,34.46
18,1797.784,51.78,41.49,55.0,,34.38
19,1797.934,53.44,42.42,55.0,,34.32
20,1798.084,55.08,43.37,55.0,,34.26
21,1798.084,,,,25.09,
22,1798.234,56.68,44.35,55.0,,34.19
23,1798.384,58.31,45.34,55.0,,34.14
24,1798.534,59.88,46.34,55.0,,34.08
25,1798.683,61.43,47.34,55.0,,34.02
26,1798.683,,,,25.22,
27,1798.834,62.91,48.36,55.0,,33.98
28,1798.989,64.36,49.37,55.0,,33.9
29,1799.139,65.89,50.39,55.0,,33.87
30,1799.289,67.24,51.4,55.0,,33.85
31,1799.289,,,,25.4,
32,1799.439,68.15,52.35,55.0,,33.86
33,1799.59,68.48,53.21,55.0,,33.94
34,1799.742,68.23,53.92,55.0,,34.06
35,1799.892,67.79,54.48,55.0,,34.21
36,1799.892,,,,25.65,
37,1800.042,66.95,54.87,55.0,,34.39
38,1800.187,65.92,55.1,55.0,,34.58
39,1800.337,64.84,55.2,55.0,,34.77
40,1800.482,63.73,55.18,55.0,,34.98
41,1800.482,,,,26.59,
42,1800.632,62.78,55.07,55.0,,35.16
43,1800.783,62.15,54.93,55.0,,35.27
44,1800.932,61.79,54.8,55.0,,35.34
45,1801.083,61.6,54.69,55.0,,35.38
46,1801.083,,,,26.55,
47,1801.233,61.52,54.61,55.0,,35.43
48,1801.383,61.45,54.57,55.0,,35.44
49,1801.532,61.45,54.55,55.0,,35.46
50,1801.683,61.43,54.55,55.0,,35.48
51,1801.683,,,,27.99,
52,1801.835,61.36,54.56,55.0,,35.48
53,1801.983,61.23,54.58,55.0,,35.49
54,1802.132,61.07,54.6,55.0,,35.48
55,1802.283,60.87,54.6,55.0,,35.47
56,1802.283,,,,33.11,
57,1802.433,60.68,54.6,55.0,,35.49
58,1802.583,60.5,54.6,55.0,,35.49
59,1802.734,60.31,54.59,55.0,,35.5
60,1802.886,60.16,54.59,55.0,,35.48
61,1802.886,,,,37.01,
62,1803.037,60.03,54.58,55.0,,35.46
63,1803.187,59.93,54.58,55.0,,35.46
64,1803.338,59.85,54.59,55.0,,35.45
65,1803.488,59.76,54.6,55.0,,35.42
66,1803.488,,,,39.82,
67,1803.638,59.68,54.61,55.0,,35.39
68,1803.788,59.61,54.63,55.0,,35.41
69,1803.937,59.54,54.65,55.0,,35.41
70,1804.086,59.47,54.67,55.0,,35.41
71,1804.086,,,,42.15,
72,1804.238,59.41,54.69,55.0,,35.39
73,1804.385,59.36,54.72,55.0,,35.37
74,1804.535,59.28,54.74,55.0,,35.37
75,1804.685,59.25,54.77,55.0,,35.35
76,1804.685,,,,43.74,
77,1804.837,59.19,54.8,55.0,,35.34
78,1804.986,59.13,54.82,55.0,,35.32
79,1805.138,59.02,54.85,55.0,,35.31
80,1805.285,58.97,54.87,55.0,,35.31
81,1805.285,,,,45.32,
82,1805.435,58.91,54.89,55.0,,35.3
83,1805.585,58.84,54.91,55.0,,35.3
84,1805.735,58.75,54.93,55.0,,35.26
85,1805.885,58.7,54.94,55.0,,35.26
86,1805.885,,,,46.5,
87,1806.035,58.64,54.96,55.0,,35.29
88,1806.185,58.55,54.97,55.0,,35.27
89,1806.337,58.5,54.99,55.0,,35.28
90,1806.486,58.4,55.0,55.0,,35.24
91,1806.486,,,,47.4,
92,1806.635,58.35,55.0,55.0,,35.25
93,1806.785,58.28,55.01,55.0,,35.25
94,1806.935,58.22,55.02,55.0,,35.23
