,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,47763454.0,21.53,24.0,62.0,,21.86
1,47763613.0,21.52,24.0,62.0,,21.86
2,47763.7,,,,17.25,
3,47763760.0,21.55,24.0,62.0,,21.86
4,47763910.0,22.19,24.0,62.0,,21.85
5,47764059.0,23.02,24.0,62.0,,21.82
6,47764209.0,24.09,24.0,62.0,,21.79
7,47764370.0,25.79,24.0,62.0,,21.75
8,47764511.0,27.12,24.0,62.0,,21.71
9,47764661.0,28.48,24.0,62.0,,21.66
10,47764816.0,30.35,24.0,62.0,,21.59
11,47764969.0,31.74,24.0,62.0,,21.54
12,47765114.0,33.2,24.0,62.0,,21.48
13,47765262.0,34.61,24.0,62.0,,21.42
14,47765413.0,35.92,24.0,62.0,,21.37
15,47765563.0,37.75,24.0,62.0,,21.29
16,47765721.0,39.07,24.0,62.0,,21.24
17,47765862.0,40.33,24.0,62.0,,21.19
18,47766014.0,41.97,24.0,62.0,,21.1
19,47766.102,,,,17.29,
20,47766163.0,43.18,24.0,62.0,,21.06
21,47766315.0,44.38,24.0,62.0,,21.0
22,47766464.0,45.65,24.0,62.0,,20.94
23,47766615.0,47.24,24.0,62.0,,20.87
24,47766764.0,48.38,24.0,62.0,,20.82
25,47766914.0,49.49,24.0,62.0,,20.77
26,47767070.0,50.94,24.0,62.0,,20.7
27,47767214.0,52.01,24.0,62.0,,20.65
28,47767.214,,,,17.36,
29,47767364.0,53.05,24.0,62.0,,20.6
30,47767515.0,54.43,24.0,62.0,,20.54
31,47767664.0,55.43,24.0,62.0,,20.5
32,47767814.0,56.4,24.0,62.0,,20.45
33,47767965.0,57.7,24.0,62.0,,20.39
34,47768114.0,58.63,24.0,62.0,,20.35
35,47768264.0,59.57,24.0,62.0,,20.32
36,47768416.0,60.81,24.0,62.0,,20.27
37,47768.416,,,,17.39,
38,47768565.0,61.73,24.12,62.0,,20.22
39,47768715.0,62.65,24.24,62.0,,20.18
40,47768869.0,63.89,24.38,62.0,,20.13
41,47769015.0,64.8,24.51,62.0,,20.09
42,47769.015,,,,17.36,
43,47769165.0,65.7,24.65,62.0,,20.06
44,47769319.0,66.85,24.81,62.0,,20.01
45,47769465.0,67.7,24.96,62.0,,19.98
46,47769615.0,68.53,25.12,62.0,,19.94
47,47769.615,,,,20.7,
48,47769769.0,69.6,25.29,62.0,,19.92
49,47769915.0,70.41,25.46,62.0,,19.88
50,47770065.0,71.21,25.63,62.0,,19.85
51,47770219.0,72.24,25.83,62.0,,19.81
52,47770.23,,,,22.02,
53,47770365.0,73.0,26.01,62.0,,19.78
54,47770515.0,73.74,26.19,62.0,,19.75
55,47770669.0,74.73,26.4,62.0,,19.73
56,47770815.0,75.45,26.59,62.0,,19.7
57,47770.821,,,,21.35,
58,47770965.0,76.15,26.79,62.0,,19.67
59,47771119.0,77.06,27.01,62.0,,19.63
60,47771265.0,77.75,27.22,62.0,,19.62
61,47771415.0,78.45,27.43,62.0,,19.6
62,47771.415,,,,21.15,
63,47771569.0,79.35,27.66,62.0,,19.58
64,47771755.0,80.01,27.93,62.0,,19.56
65,47771905.0,80.82,28.16,62.0,,19.54
66,47772056.0,81.5,28.39,62.0,,19.51
67,47772.056,,,,21.49,
68,47772205.0,82.36,28.64,62.0,,19.5
69,47772355.0,82.98,28.87,62.0,,19.47
70,47772505.0,83.58,29.1,62.0,,19.46
71,47772660.0,84.19,29.34,62.0,,19.44
72,47772.66,,,,22.17,
73,47772805.0,84.98,29.6,62.0,,19.42
74,47772955.0,85.58,29.85,62.0,,19.41
75,47773110.0,86.15,30.09,62.0,,19.4
76,47773256.0,86.93,30.37,62.0,,19.39
77,47773.256,,,,22.73,
78,47773406.0,87.49,30.62,62.0,,19.38
79,47773561.0,88.05,30.87,62.0,,19.37
80,47773707.0,88.77,31.15,62.0,,19.35
81,47773857.0,89.31,31.41,62.0,,19.35
82,47773.857,,,,23.15,
83,47774012.0,89.84,31.67,62.0,,19.33
84,47774157.0,90.53,31.95,62.0,,19.32
85,47774307.0,91.07,32.22,62.0,,19.32
86,47774.307,,,,23.46,
87,47774462.0,91.59,32.49,62.0,,19.31
88,47774607.0,92.26,32.78,62.0,,19.3
89,47774757.0,92.75,33.05,62.0,,19.3
90,47774912.0,93.25,33.32,62.0,,19.3
91,47774.912,,,,23.77,
92,47775058.0,93.86,33.62,62.0,,19.29
