,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,6558.729,,,,28.24,
1,6558.814,,,,28.27,
2,6559.72,,,,28.34,
3,6559.968,,,,28.35,
4,6560.889,,,,28.31,
5,6561.411,,,,28.36,
6,6562.126,,,,28.3,
7,6562.668,,,,28.46,
8,6563.331,,,,29.31,
9,6563.882,,,,30.7,
10,6561.92,30.24,30.22,90.0,,30.14
11,6562.119,30.24,30.22,90.0,,30.14
12,6562.274,30.28,30.23,90.0,,30.14
13,6562.419,30.46,30.26,90.0,,30.13
14,6562.569,30.87,30.38,90.0,,30.11
15,6562.719,32.03,30.66,90.0,,30.05
16,6562.869,33.08,31.05,90.0,,30.01
17,6563.019,34.31,31.58,90.0,,29.96
18,6563.169,36.31,32.27,90.0,,29.87
19,6563.319,38.37,33.13,90.0,,29.79
20,6563.469,39.7,33.99,90.0,,29.74
21,6563.619,41.75,34.88,90.0,,29.67
22,6563.769,43.58,35.79,90.0,,29.6
23,6563.919,45.16,36.69,90.0,,29.55
24,6564.069,46.63,37.58,90.0,,29.51
25,6564.219,48.08,38.53,90.0,,29.46
26,6564.37,50.22,39.53,90.0,,29.39
27,6574.809,,,,32.56,
28,6564.519,52.21,40.59,90.0,34.87,29.32
29,6564.67,53.56,41.61,90.0,,29.27
30,6564.819,55.55,42.62,90.0,,29.22
31,6564.969,56.68,43.58,90.0,,29.19
32,6565.119,59.1,44.61,90.0,37.98,29.12
33,6565.269,60.56,45.66,90.0,,29.07
34,6565.419,61.96,46.64,90.0,,29.04
35,6565.569,63.79,47.64,90.0,,28.99
36,6565.719,65.14,48.64,90.0,42.64,28.95
37,6565.869,66.47,49.59,90.0,,28.92
38,6566.019,67.78,50.51,90.0,,28.89
39,6581.97,,,,51.2,
40,6582.556,,,,62.98,
41,6566.17,69.49,51.51,90.0,,28.85
42,6566.32,70.74,52.45,90.0,77.63,28.82
43,6566.47,72.39,53.41,90.0,,28.79
44,6584.979,,,,83.74,
45,6566.621,73.59,54.36,90.0,,28.76
46,6566.771,74.78,55.27,90.0,,28.73
47,6566.921,75.93,56.15,90.0,88.96,28.72
48,6567.072,77.44,57.1,90.0,,28.68
49,6567.222,78.56,58.0,90.0,,28.67
50,6567.372,79.66,58.86,90.0,,28.65
51,6567.523,81.12,59.8,90.0,92.81,28.63
52,6567.673,82.18,60.68,90.0,,28.61
53,6567.823,83.2,61.53,90.0,,28.6
54,6567.974,84.55,62.44,90.0,,28.58
55,6568.124,85.52,63.29,90.0,96.34,28.57
56,6568.274,86.5,64.11,90.0,,28.56
57,6568.425,87.79,65.0,90.0,,28.54
58,6568.575,88.73,65.83,90.0,,28.53
59,6568.725,89.65,66.64,90.0,99.07,28.52
60,6568.876,90.88,67.51,90.0,,28.51
61,6569.026,91.79,68.33,90.0,,28.51
62,6595.825,,,,101.93,
63,6569.176,92.97,69.16,90.0,,28.5
64,6596.944,,,,104.69,
65,6569.326,93.83,69.99,90.0,106.79,28.5
66,6569.476,94.69,70.79,90.0,,28.49
67,6569.626,95.52,71.56,90.0,,28.48
68,6569.777,96.61,72.38,90.0,,28.48
69,6569.927,97.42,73.16,90.0,107.81,28.48
70,6570.077,98.46,73.95,90.0,,28.47
71,6570.228,99.22,74.73,90.0,,28.47
72,6570.378,100.01,75.49,90.0,,28.47
73,6570.528,100.76,76.23,90.0,103.72,28.47
74,6570.679,101.75,77.01,90.0,,28.47
75,6603.575,,,,99.84,
76,6570.829,102.48,77.75,90.0,,28.47
77,6570.98,103.44,78.51,90.0,,28.48
78,6571.13,104.14,79.26,90.0,98.48,28.48
79,6571.28,104.82,79.98,90.0,,28.48
80,6571.43,105.73,80.71,90.0,,28.49
81,6571.582,106.43,81.45,90.0,,28.49
82,6571.731,107.09,82.16,90.0,97.65,28.5
83,6571.882,107.98,82.88,90.0,,28.5
84,6572.03,108.62,83.59,90.0,,28.51
85,6572.18,109.25,84.28,90.0,,28.52
86,6610.228,,,,96.83,
87,6572.33,110.07,84.98,90.0,96.26,28.53
88,6572.48,110.67,85.68,90.0,,28.54
89,6572.63,111.29,86.36,90.0,,28.55
90,6572.78,111.97,87.02,90.0,,28.56
91,6572.93,112.47,87.67,90.0,95.48,28.58
92,6573.08,112.88,88.28,90.0,,28.59
93,6573.238,113.42,88.87,90.0,,28.61
94,6573.387,113.73,89.44,90.0,,28.62
95,6573.538,113.96,89.96,90.0,94.8,28.64
96,6573.687,113.91,90.4,90.0,,28.68
97,6616.871,,,,93.96,
98,6573.839,113.44,90.7,90.0,,28.75
99,6617.974,,,,93.23,
100,6573.989,112.66,90.85,90.0,,28.86
101,6574.136,111.21,90.8,90.0,92.39,29.06
102,6574.285,109.94,90.58,90.0,,29.22
103,6574.435,108.8,90.33,90.0,,29.38
104,6574.585,107.47,90.03,90.0,,29.54
105,6574.735,106.69,89.77,90.0,,29.62
106,6574.885,106.04,89.58,90.0,,29.7
107,6575.035,105.32,89.42,90.0,,29.79
108,6575.185,104.91,89.32,90.0,,29.85
109,6575.335,104.53,89.28,90.0,91.57,29.89
110,6624.618,,,,90.95,
111,6575.485,104.08,89.26,90.0,,29.94
112,6575.635,103.8,89.26,90.0,,29.97
113,6575.785,103.51,89.29,90.0,,30.0
114,6575.935,103.18,89.32,90.0,90.38,30.03
115,6576.085,102.96,89.37,90.0,,30.05
116,6576.235,102.71,89.42,90.0,,30.07
117,6576.385,102.51,89.48,90.0,,30.09
118,6576.535,102.25,89.54,90.0,88.7,30.12
119,6576.685,102.05,89.61,90.0,,30.14
120,6576.835,101.86,89.68,90.0,,30.15
121,6631.247,,,,83.75,
122,6576.985,101.63,89.73,90.0,,30.17
123,6577.135,101.43,89.8,90.0,78.01,30.19
124,6577.286,101.25,89.86,90.0,,30.2
125,6577.435,101.03,89.92,90.0,,30.23
126,6577.585,100.86,89.98,90.0,,30.24
127,6577.735,100.68,90.04,90.0,72.15,30.25
128,6577.886,100.45,90.09,90.0,,30.27
129,6578.036,100.27,90.14,90.0,,30.29
130,6578.186,100.1,90.18,90.0,,30.3
131,6578.332,99.86,90.22,90.0,68.27,30.32
132,6578.482,99.68,90.26,90.0,,30.33
133,6578.632,99.48,90.29,90.0,,30.34
134,6638.983,,,,69.32,
135,6578.783,99.21,90.31,90.0,,30.35
136,6578.933,99.02,90.32,90.0,72.77,30.36
137,6579.083,98.84,90.35,90.0,,30.38
138,6579.233,98.56,90.34,90.0,,30.39
139,6579.383,98.36,90.35,90.0,,30.4
140,6579.533,98.16,90.36,90.0,75.49,30.42
141,6579.683,97.91,90.35,90.0,,30.44
142,6579.833,97.71,90.35,90.0,,30.45
143,6579.983,97.49,90.34,90.0,,30.46
144,6580.133,97.23,90.33,90.0,76.79,30.47
145,6645.621,,,,77.09,
146,6580.283,97.04,90.31,90.0,,30.49
147,6580.433,96.85,90.3,90.0,,30.5
148,6580.583,96.6,90.28,90.0,,30.52
149,6580.733,96.43,90.27,90.0,76.87,30.54
150,6580.883,96.24,90.25,90.0,,30.55
151,6581.033,96.0,90.23,90.0,,30.57
152,6581.183,95.8,90.21,90.0,,30.58
153,6581.333,95.62,90.18,90.0,76.52,30.59
154,6581.483,95.41,90.16,90.0,,30.61
155,6581.633,95.25,90.14,90.0,,30.62
156,6581.783,95.11,90.12,90.0,,30.63
157,6581.933,94.92,90.1,90.0,,30.65
158,6582.079,94.78,90.09,80.0,,30.66
159,6582.229,94.64,90.07,80.0,,30.67
160,6582.379,94.42,90.05,80.0,,30.69
161,6582.529,94.0,89.97,80.0,,30.72
162,6582.679,93.31,89.82,80.0,,30.79
163,6582.829,92.05,89.49,80.0,,30.93
164,6582.979,90.91,89.07,80.0,,31.07
165,6583.129,89.68,88.58,80.0,76.18,31.22
166,6583.279,87.97,87.95,80.0,,31.43
167,6583.43,86.65,87.3,80.0,,31.62
168,6583.579,85.31,86.64,80.0,,31.82
169,6660.002,,,,75.97,
170,6583.73,83.52,85.88,80.0,75.79,32.06
171,6583.88,82.18,85.14,80.0,,32.24
172,6584.03,80.83,84.4,80.0,,32.43
173,6584.18,79.05,83.59,80.0,,32.69
174,6584.33,77.74,82.81,80.0,75.74,32.89
175,6584.491,76.44,82.06,80.0,,33.07
176,6584.64,74.76,81.24,80.0,,33.33
177,6584.79,73.55,80.47,80.0,,33.52
178,6584.943,72.54,79.76,80.0,,33.69
179,6585.085,71.67,79.12,80.0,,33.83
180,6585.235,71.36,78.63,80.0,,33.91
181,6585.385,71.31,78.28,80.0,,33.95
182,6585.535,71.57,78.09,80.0,75.69,33.98
183,6585.685,72.0,78.02,80.0,,33.98
184,6585.835,72.56,78.07,80.0,,33.97
185,6585.985,73.41,78.23,80.0,,33.94
186,6586.135,74.11,78.44,80.0,75.79,33.92
187,6586.285,74.8,78.68,80.0,,33.88
188,6586.435,75.7,78.98,80.0,,33.85
189,6586.585,76.36,79.27,80.0,,33.81
190,6586.735,76.97,79.55,80.0,75.7,33.77
191,6586.885,77.71,79.84,80.0,,33.73
192,6587.035,78.2,80.11,80.0,,33.7
193,6674.388,,,,72.39,
194,6587.185,78.64,80.34,80.0,,33.68
195,6587.335,79.12,80.55,80.0,,33.64
196,6587.485,79.42,80.74,80.0,67.5,33.61
197,6587.635,79.64,80.88,80.0,,33.58
198,6587.786,79.85,81.0,80.0,,33.54
199,6587.935,79.96,81.08,80.0,62.37,33.52
200,6588.086,80.01,81.13,80.0,,33.51
201,6588.236,80.04,81.16,80.0,,33.48
202,6588.387,80.05,81.17,80.0,,33.47
203,6588.536,80.02,81.16,80.0,,33.46
204,6681.017,,,,58.05,
205,6588.687,79.98,81.13,80.0,56.81,33.45
206,6588.837,79.93,81.1,80.0,,33.44
207,6588.986,79.85,81.05,80.0,,33.43
208,6589.137,79.75,81.0,80.0,,33.41
209,6589.287,79.68,80.94,80.0,59.39,33.41
210,6589.436,79.6,80.88,80.0,,33.4
211,6589.586,79.49,80.82,80.0,,33.39
212,6589.737,79.43,80.75,80.0,62.35,33.38
213,6589.886,79.36,80.69,80.0,,33.37
214,6590.037,79.26,80.63,80.0,,33.36
215,6590.188,79.19,80.56,80.0,,33.35
