,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,1611.399,39.76,39.66,55.0,,39.9
1,1611.548,39.77,39.65,55.0,,39.91
2,1611.699,39.88,39.66,55.0,,39.89
3,1611.699,,,,27.79,
4,1611.849,40.36,39.7,55.0,,39.83
5,1611.998,41.23,39.83,55.0,,39.78
6,1612.149,42.37,40.06,55.0,,39.69
7,1612.298,43.72,40.39,55.0,,39.6
8,1612.298,,,,28.01,
9,1612.448,45.21,40.83,55.0,,39.5
10,1612.598,46.78,41.38,55.0,,39.41
11,1612.748,48.39,42.01,55.0,,39.33
12,1612.898,50.08,42.72,55.0,,39.25
13,1612.959,,,,28.39,
14,1613.048,51.77,43.49,55.0,,39.15
15,1613.199,53.42,44.31,55.0,,39.06
16,1613.348,55.11,45.18,55.0,,38.99
17,1613.498,56.77,46.09,55.0,,38.89
18,1613.498,,,,28.73,
19,1613.648,58.43,47.03,55.0,,38.82
20,1613.799,60.0,47.99,55.0,,38.73
21,1613.948,61.61,48.96,55.0,,38.62
22,1614.098,63.14,49.95,55.0,,38.55
23,1614.098,,,,29.42,
24,1614.254,64.69,50.94,55.0,,38.51
25,1614.404,66.25,51.95,55.0,,38.44
26,1614.554,67.75,52.95,55.0,,38.37
27,1614.705,68.78,53.92,55.0,,38.37
28,1614.705,,,,31.7,
29,1614.856,69.45,54.83,55.0,,38.41
30,1615.005,69.55,55.6,55.0,,38.55
31,1615.156,69.17,56.22,55.0,,38.83
32,1615.298,68.44,56.68,55.0,,39.09
33,1615.298,,,,37.84,
34,1615.448,67.52,56.97,55.0,,39.34
35,1615.598,66.52,57.12,55.0,,39.63
36,1615.75,65.47,57.15,55.0,,39.87
37,1615.899,64.44,57.08,55.0,,40.06
38,1615.942,,,,44.1,
39,1616.048,63.57,56.95,55.0,,40.23
40,1616.198,62.78,56.77,55.0,,40.38
41,1616.347,62.12,56.57,55.0,,40.48
42,1616.497,61.58,56.36,55.0,,40.54
43,1616.497,,,,46.21,
44,1616.647,61.08,56.16,55.0,,40.59
45,1616.798,60.66,55.95,55.0,,40.61
46,1616.947,60.27,55.76,55.0,,40.64
47,1617.097,59.96,55.59,55.0,,40.66
48,1617.097,,,,47.53,
49,1617.247,59.65,55.43,55.0,,40.64
50,1617.398,59.41,55.28,55.0,,40.65
