(5095371) TC: TC-0 = 21.41, modeled = 20.21, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 2800, exptTempC = 0.00, TecRate = 0.000
(5095515) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 2950, exptTempC = 0.00, TecRate = 0.000
(5095666) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 3100, exptTempC = 0.00, TecRate = 0.000
(5095816) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 3250, exptTempC = 0.00, TecRate = 0.000
(5095967) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.87, output = 100.0, timeout = 3400, exptTempC = 0.00, TecRate = 0.000
(5096064) heapMonitor_checkFreeHeapSize: New heap low water mark 115052
(5096117) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 3550, exptTempC = 0.00, TecRate = 0.000
(5096273) TC: TC-0 = 21.41, modeled = 20.21, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 3700, exptTempC = 0.00, TecRate = 0.000
(5096417) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.80, output = 100.0, timeout = 3850, exptTempC = 0.00, TecRate = 0.000
(5096568) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.21, output = 100.0, timeout = 4000, exptTempC = 0.00, TecRate = 0.000
(5096718) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 4150, exptTempC = 0.00, TecRate = 0.000
(5096868) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -87.27, output = 100.0, timeout = 4300, exptTempC = 0.00, TecRate = 0.000
(5097018) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 4450, exptTempC = 0.00, TecRate = 0.000
(5097175) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 4600, exptTempC = 0.00, TecRate = 0.000
(5097322) TC: TC-0 = 21.42, modeled = 20.21, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 4750, exptTempC = 0.00, TecRate = 0.000
