***Stage1 ON***
[88]TC TEC set to 50°C
(2972822) _setStage1TecTempC: TEC Set Temp 50.000000
(2972823) _resetThermalControlState: RESET Peltier 0 control state
(2972827) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(2972834) _setThermalControlState: thermalControl-0: changing state 3->1
(2972841) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(2972849) thermalControlSetEnable: Enabling Peltier 0
(2972861) TC: TC-0 = 23.24, modeled = 11.66, target = 50.00, heatSink = -86.05, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.241
(2973006) TC: TC-0 = 23.24, modeled = 11.69, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.240
(2973156) TC: TC-0 = 23.25, modeled = 11.73, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.239
(2973306) TC: TC-0 = 23.25, modeled = 11.76, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.239
(2973456) TC: TC-0 = 23.26, modeled = 11.80, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.238
(2973606) TC: TC-0 = 23.27, modeled = 11.84, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.237
(2973761) TC: TC-0 = 23.28, modeled = 11.87, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.236
(2973908) TC: TC-0 = 23.29, modeled = 11.91, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.236
(2974057) TC: TC-0 = 23.31, modeled = 11.94, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.235
(2974208) TC: TC-0 = 23.32, modeled = 11.98, target = 50.00, heatSink = -86.28, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.235
(2974359) TC: TC-0 = 23.34, modeled = 12.01, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.234
(2974509) TC: TC-0 = 23.36, modeled = 12.05, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 1650, exptTempC = 50.00, TecRate = 0.234
(2974661) TC: TC-0 = 23.38, modeled = 12.08, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 1800, exptTempC = 50.00, TecRate = 0.233
(2974811) TC: TC-0 = 23.39, modeled = 12.12, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 1950, exptTempC = 50.00, TecRate = 0.233
(2974960) TC: TC-0 = 23.41, modeled = 12.15, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 2100, exptTempC = 50.00, TecRate = 0.232
(2975112) TC: TC-0 = 23.44, modeled = 12.19, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 2250, exptTempC = 50.00, TecRate = 0.232
(2975262) TC: TC-0 = 23.47, modeled = 12.22, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 2400, exptTempC = 50.00, TecRate = 0.232
(2975411) TC: TC-0 = 23.51, modeled = 12.26, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 2550, exptTempC = 50.00, TecRate = 0.232
(2975567) TC: TC-0 = 23.59, modeled = 12.29, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 2700, exptTempC = 50.00, TecRate = 0.232
(2975712) TC: TC-0 = 23.84, modeled = 12.33, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 2850, exptTempC = 50.00, TecRate = 0.236
(2975863) TC: TC-0 = 24.99, modeled = 12.36, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 3000, exptTempC = 50.00, TecRate = 0.258
(2976013) TC: TC-0 = 26.88, modeled = 12.41, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 3150, exptTempC = 50.00, TecRate = 0.293
(2976163) TC: TC-0 = 29.25, modeled = 12.45, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 3300, exptTempC = 50.00, TecRate = 0.338
(2976315) TC: TC-0 = 32.07, modeled = 12.51, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 3450, exptTempC = 50.00, TecRate = 0.392
(2976469) TC: TC-0 = 34.13, modeled = 12.57, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 3600, exptTempC = 50.00, TecRate = 0.431
(2976615) TC: TC-0 = 37.37, modeled = 12.64, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 3750, exptTempC = 50.00, TecRate = 0.495
(2976765) TC: TC-0 = 40.77, modeled = 12.72, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 3900, exptTempC = 50.00, TecRate = 0.561
(2976915) TC: TC-0 = 44.09, modeled = 12.81, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4050, exptTempC = 50.00, TecRate = 0.627
(2977065) TC: TC-0 = 47.12, modeled = 12.92, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 4200, exptTempC = 50.00, TecRate = 0.687
(2977215) TC: TC-0 = 49.52, modeled = 13.02, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4350, exptTempC = 50.00, TecRate = 0.734
(2977372) TC: TC-0 = 50.77, modeled = 13.14, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4500, exptTempC = 50.00, TecRate = 0.758
(2977516) TC: TC-0 = 52.73, modeled = 13.25, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4650, exptTempC = 50.00, TecRate = 0.796
(2977667) TC: TC-0 = 55.01, modeled = 13.38, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 4800, exptTempC = 50.00, TecRate = 0.842
(2977817) TC: TC-0 = 57.41, modeled = 13.51, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 4950, exptTempC = 50.00, TecRate = 0.890
(2977967) TC: TC-0 = 59.73, modeled = 13.65, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 5100, exptTempC = 50.00, TecRate = 0.936
(2978119) TC: TC-0 = 61.94, modeled = 13.79, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 5250, exptTempC = 50.00, TecRate = 0.981
(2978274) TC: TC-0 = 63.46, modeled = 13.94, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 5400, exptTempC = 50.00, TecRate = 1.010
