***PCR ON***
[57]PCR TEC set to 50°C
(2061079) _setPcrTecTempC: TEC Set Temp 50.000000
(2061081) _applyThermalBrakeUpdate: Worst Temp: 92.860428
(2061083) _updateInertiaCompensation: overshoot: 42.860428, updatedComp: 42.860428, atIndex: 4 atTemp: 50.0
(2061094) _resetThermalControlState: RESET Peltier 1 control state
(2061100) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(2061108) _setThermalControlState: thermalControl-1: changing state 3->1
(2061115) tecCurvePredictorSetHoldPower: hold power: -63310.515625 filtered: -74428.093750 temp: 12.813013
(2061126) thermalControlSetEnable: Enabling Peltier 1
(2061134) _findInertiaCompensation: Inertia Compensation is too large: 42.860428
(2061140) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(2061148) _findInertiaCompensation: Resetting IC to 0...
(2061154) stashException: Exception Stashed (0x0B1E1)
(2061168) thermalControlTask: thermal control sleep.
(2061178) printException: ************
(2061178) printException: Error Code:  (0x0000B1E1)
(2061179) printException: Originator:   (0x0B)  System
(2061184) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(2061192) printException: Priority:       (0x01)  Log Only
(2061198) printException: Time Since Boot:       (2060480) ms
(2061205) printException: Time Since Expt:       (0) ms
(2061211) handleException: ************

(2061216) systemRequestStateChange: System State Transition ERROR -> WARNING
(2061224) blePeriphNotifySubscription: ENTER NOTIFY
(2061230) systemRequestStateChange: Notify exit state change
(2061241) TC: TC-1 = 25.19, modeled = 13.02, target = 50.00, heatSink = -89.54, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 1.357
(2061390) TC: TC-1 = 25.19, modeled = 13.22, target = 50.00, heatSink = -88.86, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 1.336
(2061542) TC: TC-1 = 25.19, modeled = 13.42, target = 50.00, heatSink = -89.61, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 1.314
(2061691) TC: TC-1 = 25.18, modeled = 13.61, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 1.291
(2061845) TC: TC-1 = 25.18, modeled = 13.80, target = 50.00, heatSink = -90.13, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 1.266
(2062001) TC: TC-1 = 25.18, modeled = 13.99, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 1.247
(2062145) TC: TC-1 = 25.17, modeled = 14.18, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 1.227
(2062297) TC: TC-1 = 25.17, modeled = 14.36, target = 50.00, heatSink = -89.36, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 1.208
(2062446) TC: TC-1 = 25.17, modeled = 14.54, target = 50.00, heatSink = -89.86, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 1.189
(2062596) TC: TC-1 = 25.17, modeled = 14.71, target = 50.00, heatSink = -89.81, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 1.167
(2062751) TC: TC-1 = 25.17, modeled = 14.89, target = 50.00, heatSink = -89.86, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 1.148
(2062897) TC: TC-1 = 25.17, modeled = 15.06, target = 50.00, heatSink = -89.80, output = 100.0, timeout = 1750, exptTempC = 50.00, TecRate = 1.130
(2063047) TC: TC-1 = 25.16, modeled = 15.22, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 1900, exptTempC = 50.00, TecRate = 1.110
(2063199) TC: TC-1 = 25.16, modeled = 15.39, target = 50.00, heatSink = -89.56, output = 100.0, timeout = 2050, exptTempC = 50.00, TecRate = 1.092
(2063348) TC: TC-1 = 25.16, modeled = 15.55, target = 50.00, heatSink = -89.39, output = 100.0, timeout = 2200, exptTempC = 50.00, TecRate = 1.075
(2063500) TC: TC-1 = 25.16, modeled = 15.71, target = 50.00, heatSink = -89.76, output = 100.0, timeout = 2350, exptTempC = 50.00, TecRate = 1.058
(2063654) TC: TC-1 = 25.16, modeled = 15.87, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 2500, exptTempC = 50.00, TecRate = 1.039
(2063801) TC: TC-1 = 25.16, modeled = 16.02, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 2650, exptTempC = 50.00, TecRate = 1.022
(2063950) TC: TC-1 = 25.15, modeled = 16.17, target = 50.00, heatSink = -89.56, output = 100.0, timeout = 2800, exptTempC = 50.00, TecRate = 1.003
(2064101) TC: TC-1 = 25.15, modeled = 16.32, target = 50.00, heatSink = -89.52, output = 100.0, timeout = 2950, exptTempC = 50.00, TecRate = 0.988
(2064250) TC: TC-1 = 25.15, modeled = 16.47, target = 50.00, heatSink = -90.19, output = 100.0, timeout = 3100, exptTempC = 50.00, TecRate = 0.968
(2064403) TC: TC-1 = 25.15, modeled = 16.61, target = 50.00, heatSink = -90.13, output = 100.0, timeout = 3250, exptTempC = 50.00, TecRate = 0.954
(2064560) TC: TC-1 = 25.15, modeled = 16.75, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 3400, exptTempC = 50.00, TecRate = 0.939
(2064703) TC: TC-1 = 25.14, modeled = 16.89, target = 50.00, heatSink = -89.75, output = 100.0, timeout = 3550, exptTempC = 50.00, TecRate = 0.924
(2064855) TC: TC-1 = 25.15, modeled = 17.03, target = 50.00, heatSink = -89.14, output = 100.0, timeout = 3700, exptTempC = 50.00, TecRate = 0.911
(2065004) TC: TC-1 = 25.15, modeled = 17.17, target = 50.00, heatSink = -89.56, output = 100.0, timeout = 3850, exptTempC = 50.00, TecRate = 0.900
(2065155) TC: TC-1 = 25.16, modeled = 17.30, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 4000, exptTempC = 50.00, TecRate = 0.891
(2065310) TC: TC-1 = 25.17, modeled = 17.43, target = 50.00, heatSink = -90.18, output = 100.0, timeout = 4150, exptTempC = 50.00, TecRate = 0.884
(2065462) TC: TC-1 = 25.18, modeled = 17.56, target = 50.00, heatSink = -90.07, output = 100.0, timeout = 4300, exptTempC = 50.00, TecRate = 0.878
(2065606) TC: TC-1 = 25.21, modeled = 17.70, target = 50.00, heatSink = -89.76, output = 100.0, timeout = 4450, exptTempC = 50.00, TecRate = 0.880
(2065756) TC: TC-1 = 25.24, modeled = 17.83, target = 50.00, heatSink = -89.29, output = 100.0, timeout = 4600, exptTempC = 50.00, TecRate = 0.882
(2065905) TC: TC-1 = 25.27, modeled = 17.96, target = 50.00, heatSink = -89.91, output = 100.0, timeout = 4750, exptTempC = 50.00, TecRate = 0.885
(2066056) TC: TC-1 = 25.31, modeled = 18.10, target = 50.00, heatSink = -90.13, output = 100.0, timeout = 4900, exptTempC = 50.00, TecRate = 0.893
(2066210) TC: TC-1 = 25.37, modeled = 18.23, target = 50.00, heatSink = -89.87, output = 100.0, timeout = 5050, exptTempC = 50.00, TecRate = 0.911
(2066336) systemRequestStateChange: System State Transition WARNING -> ERROR
(2066336) blePeriphNotifySubscription: ENTER NOTIFY
(2066339) systemRequestStateChange: Notify exit state change
(2066363) TC: TC-1 = 25.43, modeled = 18.37, target = 50.00, heatSink = -89.65, output = 100.0, timeout = 5200, exptTempC = 50.00, TecRate = 0.917
(2066508) TC: TC-1 = 25.51, modeled = 18.51, target = 50.00, heatSink = -90.03, output = 100.0, timeout = 5350, exptTempC = 50.00, TecRate = 0.945
(2066658) TC: TC-1 = 25.60, modeled = 18.65, target = 50.00, heatSink = -89.59, output = 100.0, timeout = 5500, exptTempC = 50.00, TecRate = 0.971
(2066809) TC: TC-1 = 25.70, modeled = 18.80, target = 50.00, heatSink = -89.30, output = 100.0, timeout = 5650, exptTempC = 50.00, TecRate = 0.991
(2066958) TC: TC-1 = 25.80, modeled = 18.95, target = 50.00, heatSink = -89.97, output = 100.0, timeout = 5800, exptTempC = 50.00, TecRate = 1.010
(2067112) TC: TC-1 = 25.89, modeled = 19.10, target = 50.00, heatSink = -89.80, output = 100.0, timeout = 5950, exptTempC = 50.00, TecRate = 1.017
