***PCR ON***
[59]PCR TEC set to 50°C
(2168696) _setPcrTecTempC: TEC Set Temp 50.000000
(2168697) _applyThermalBrakeUpdate: Worst Temp: 92.978745
(2168700) _updateInertiaCompensation: overshoot: 42.978745, updatedComp: 42.978745, atIndex: 4 atTemp: 50.0
(2168711) _resetThermalControlState: RESET Peltier 1 control state
(2168717) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(2168725) _setThermalControlState: thermalControl-1: changing state 3->1
(2168732) tecCurvePredictorSetHoldPower: hold power: -66651.265625 filtered: -72095.046875 temp: 25.062738
(2168743) thermalControlSetEnable: Enabling Peltier 1
(2168752) _findInertiaCompensation: Inertia Compensation is too large: 42.978745
(2168757) _findInertiaCompensation: Resetting IC to 0...
(2168763) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(2168771) stashException: Exception Stashed (0x0B1E1)
(2168785) thermalControlTask: thermal control sleep.
(2168849) printException: ************
(2168849) printException: Error Code:  (0x0000B1E1)
(2168850) printException: Originator:   (0x0B)  System
(2168854) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(2168862) printException: Priority:       (0x01)  Log Only
(2168868) TC: TC-1 = 25.77, modeled = 25.07, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.078
(2168883) printException: Time Since Boot:       (2168097) ms
(2168889) printException: Time Since Expt:       (0) ms
(2168895) handleException: ************

(2168900) systemRequestStateChange: System State Transition ERROR -> WARNING
(2168908) blePeriphNotifySubscription: ENTER NOTIFY
(2168913) systemRequestStateChange: Notify exit state change
(2169014) TC: TC-1 = 25.77, modeled = 25.09, target = 50.00, heatSink = -89.96, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.076
(2169171) TC: TC-1 = 25.77, modeled = 25.10, target = 50.00, heatSink = -90.12, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.075
(2169321) TC: TC-1 = 25.76, modeled = 25.11, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.072
(2169465) TC: TC-1 = 25.76, modeled = 25.12, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.068
(2169617) TC: TC-1 = 25.75, modeled = 25.13, target = 50.00, heatSink = -89.49, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.069
(2169766) TC: TC-1 = 25.75, modeled = 25.14, target = 50.00, heatSink = -89.77, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.068
(2169918) TC: TC-1 = 25.75, modeled = 25.15, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.067
(2170072) TC: TC-1 = 25.75, modeled = 25.16, target = 50.00, heatSink = -90.34, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.067
(2170218) TC: TC-1 = 25.75, modeled = 25.17, target = 50.00, heatSink = -89.97, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.067
(2170369) TC: TC-1 = 25.75, modeled = 25.18, target = 50.00, heatSink = -89.30, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.066
(2170520) TC: TC-1 = 25.74, modeled = 25.19, target = 50.00, heatSink = -90.07, output = 100.0, timeout = 1750, exptTempC = 50.00, TecRate = 0.060
(2170669) TC: TC-1 = 25.73, modeled = 25.20, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 1900, exptTempC = 50.00, TecRate = 0.056
(2170821) TC: TC-1 = 25.73, modeled = 25.21, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 2050, exptTempC = 50.00, TecRate = 0.057
(2170970) TC: TC-1 = 25.73, modeled = 25.21, target = 50.00, heatSink = -90.40, output = 100.0, timeout = 2200, exptTempC = 50.00, TecRate = 0.056
(2171121) TC: TC-1 = 25.72, modeled = 25.22, target = 50.00, heatSink = -89.86, output = 100.0, timeout = 2350, exptTempC = 50.00, TecRate = 0.054
(2171271) TC: TC-1 = 25.72, modeled = 25.23, target = 50.00, heatSink = -89.50, output = 100.0, timeout = 2500, exptTempC = 50.00, TecRate = 0.054
(2171422) TC: TC-1 = 25.72, modeled = 25.24, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 2650, exptTempC = 50.00, TecRate = 0.054
(2171572) TC: TC-1 = 25.72, modeled = 25.25, target = 50.00, heatSink = -89.86, output = 100.0, timeout = 2800, exptTempC = 50.00, TecRate = 0.056
(2171729) TC: TC-1 = 25.73, modeled = 25.26, target = 50.00, heatSink = -90.07, output = 100.0, timeout = 2950, exptTempC = 50.00, TecRate = 0.061
(2171882) TC: TC-1 = 25.74, modeled = 25.26, target = 50.00, heatSink = -90.12, output = 100.0, timeout = 3100, exptTempC = 50.00, TecRate = 0.067
(2172028) TC: TC-1 = 25.75, modeled = 25.28, target = 50.00, heatSink = -89.68, output = 100.0, timeout = 3250, exptTempC = 50.00, TecRate = 0.080
(2172177) TC: TC-1 = 25.78, modeled = 25.29, target = 50.00, heatSink = -89.42, output = 100.0, timeout = 3400, exptTempC = 50.00, TecRate = 0.098
(2172328) TC: TC-1 = 25.81, modeled = 25.31, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 3550, exptTempC = 50.00, TecRate = 0.113
(2172477) TC: TC-1 = 25.86, modeled = 25.33, target = 50.00, heatSink = -90.51, output = 100.0, timeout = 3700, exptTempC = 50.00, TecRate = 0.138
(2172631) TC: TC-1 = 25.93, modeled = 25.35, target = 50.00, heatSink = -90.13, output = 100.0, timeout = 3850, exptTempC = 50.00, TecRate = 0.179
(2172786) TC: TC-1 = 25.98, modeled = 25.38, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 4000, exptTempC = 50.00, TecRate = 0.187
(2172931) TC: TC-1 = 26.08, modeled = 25.41, target = 50.00, heatSink = -89.55, output = 100.0, timeout = 4150, exptTempC = 50.00, TecRate = 0.243
(2173082) TC: TC-1 = 26.17, modeled = 25.45, target = 50.00, heatSink = -89.09, output = 100.0, timeout = 4300, exptTempC = 50.00, TecRate = 0.282
(2173231) TC: TC-1 = 26.26, modeled = 25.50, target = 50.00, heatSink = -89.51, output = 100.0, timeout = 4450, exptTempC = 50.00, TecRate = 0.305
(2173382) TC: TC-1 = 26.35, modeled = 25.55, target = 50.00, heatSink = -90.02, output = 100.0, timeout = 4600, exptTempC = 50.00, TecRate = 0.323
(2173537) TC: TC-1 = 26.43, modeled = 25.60, target = 50.00, heatSink = -90.08, output = 100.0, timeout = 4750, exptTempC = 50.00, TecRate = 0.334
(2173683) TC: TC-1 = 26.48, modeled = 25.65, target = 50.00, heatSink = -89.98, output = 100.0, timeout = 4900, exptTempC = 50.00, TecRate = 0.321
(2173834) TC: TC-1 = 26.55, modeled = 25.69, target = 50.00, heatSink = -89.76, output = 100.0, timeout = 5050, exptTempC = 50.00, TecRate = 0.332
(2173984) TC: TC-1 = 26.63, modeled = 25.75, target = 50.00, heatSink = -89.81, output = 100.0, timeout = 5200, exptTempC = 50.00, TecRate = 0.344
(2174020) systemRequestStateChange: System State Transition WARNING -> ERROR
(2174020) blePeriphNotifySubscription: ENTER NOTIFY
(2174023) systemRequestStateChange: Notify exit state change
(2174136) TC: TC-1 = 26.79, modeled = 25.80, target = 50.00, heatSink = -89.86, output = 100.0, timeout = 5350, exptTempC = 50.00, TecRate = 0.439
(2174287) TC: TC-1 = 27.96, modeled = 25.95, target = 50.00, heatSink = -90.40, output = 100.0, timeout = 5500, exptTempC = 50.00, TecRate = 1.456
(2174441) TC: TC-1 = 30.88, modeled = 26.38, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 5650, exptTempC = 50.00, TecRate = 3.617
(2174587) TC: TC-1 = 33.48, modeled = 27.04, target = 50.00, heatSink = -90.34, output = 100.0, timeout = 5800, exptTempC = 50.00, TecRate = 5.056
(2174737) TC: TC-1 = 37.94, modeled = 28.05, target = 50.00, heatSink = -89.22, output = 100.0, timeout = 5950, exptTempC = 50.00, TecRate = 7.585
(2174888) TC: TC-1 = 42.49, modeled = 29.40, target = 50.00, heatSink = -89.77, output = 100.0, timeout = 6100, exptTempC = 50.00, TecRate = 9.660
(2175037) TC: TC-1 = 47.04, modeled = 31.03, target = 50.00, heatSink = -90.18, output = 100.0, timeout = 6250, exptTempC = 50.00, TecRate = 11.368
