***PCR ON***
(1235069) heapMonitor_checkFreeHeapSize: New heap low water mark 114864
[45]PCR TEC set to 50°C
(1235089) _setPcrTecTempC: TEC Set Temp 50.000000
(1235090) _resetThermalControlState: RESET Peltier 1 control state
(1235093) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(1235101) _setThermalControlState: thermalControl-1: changing state 3->1
(1235108) tecCurvePredictorSetHoldPower: holdPower is NaN
(1235114) thermalControlSetEnable: Enabling Peltier 1
(1235167) TC: TC-1 = 24.50, modeled = 24.31, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 50, exptTempC = 50.00, TecRate = 0.056
(1235314) TC: TC-1 = 24.50, modeled = 24.32, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 200, exptTempC = 50.00, TecRate = 0.056
(1235463) TC: TC-1 = 24.51, modeled = 24.33, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 350, exptTempC = 50.00, TecRate = 0.056
(1235614) TC: TC-1 = 24.52, modeled = 24.33, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 500, exptTempC = 50.00, TecRate = 0.056
(1235763) TC: TC-1 = 24.53, modeled = 24.34, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 650, exptTempC = 50.00, TecRate = 0.059
(1235917) TC: TC-1 = 24.54, modeled = 24.35, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 800, exptTempC = 50.00, TecRate = 0.058
(1236072) TC: TC-1 = 24.54, modeled = 24.36, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 950, exptTempC = 50.00, TecRate = 0.055
(1236216) TC: TC-1 = 24.55, modeled = 24.37, target = 50.00, heatSink = -87.12, output = 100.0, timeout = 1100, exptTempC = 50.00, TecRate = 0.056
(1236367) TC: TC-1 = 24.55, modeled = 24.38, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 1250, exptTempC = 50.00, TecRate = 0.055
(1236516) TC: TC-1 = 24.56, modeled = 24.39, target = 50.00, heatSink = -87.27, output = 100.0, timeout = 1400, exptTempC = 50.00, TecRate = 0.054
(1236667) TC: TC-1 = 24.56, modeled = 24.39, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 1550, exptTempC = 50.00, TecRate = 0.053
(1236823) TC: TC-1 = 24.57, modeled = 24.40, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 1700, exptTempC = 50.00, TecRate = 0.051
(1236969) TC: TC-1 = 24.57, modeled = 24.41, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 1850, exptTempC = 50.00, TecRate = 0.049
(1237118) TC: TC-1 = 24.58, modeled = 24.42, target = 50.00, heatSink = -87.29, output = 100.0, timeout = 2000, exptTempC = 50.00, TecRate = 0.049
(1237269) TC: TC-1 = 24.58, modeled = 24.42, target = 50.00, heatSink = -87.20, output = 100.0, timeout = 2150, exptTempC = 50.00, TecRate = 0.046
(1237418) TC: TC-1 = 24.59, modeled = 24.43, target = 50.00, heatSink = -87.97, output = 100.0, timeout = 2300, exptTempC = 50.00, TecRate = 0.047
(1237572) TC: TC-1 = 24.59, modeled = 24.44, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 2450, exptTempC = 50.00, TecRate = 0.047
(1237728) TC: TC-1 = 24.59, modeled = 24.44, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 2600, exptTempC = 50.00, TecRate = 0.043
(1237871) TC: TC-1 = 24.60, modeled = 24.45, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 2750, exptTempC = 50.00, TecRate = 0.044
(1238022) TC: TC-1 = 24.61, modeled = 24.46, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 2900, exptTempC = 50.00, TecRate = 0.045
(1238172) TC: TC-1 = 24.61, modeled = 24.46, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 3050, exptTempC = 50.00, TecRate = 0.045
(1238323) TC: TC-1 = 24.62, modeled = 24.47, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 3200, exptTempC = 50.00, TecRate = 0.045
(1238476) TC: TC-1 = 24.62, modeled = 24.48, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 3350, exptTempC = 50.00, TecRate = 0.045
(1238628) TC: TC-1 = 24.62, modeled = 24.48, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 3500, exptTempC = 50.00, TecRate = 0.039
(1238775) TC: TC-1 = 24.62, modeled = 24.49, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 3650, exptTempC = 50.00, TecRate = 0.037
(1238924) TC: TC-1 = 24.62, modeled = 24.49, target = 50.00, heatSink = -87.29, output = 100.0, timeout = 3800, exptTempC = 50.00, TecRate = 0.033
(1239074) TC: TC-1 = 24.62, modeled = 24.50, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 3950, exptTempC = 50.00, TecRate = 0.034
(1239223) TC: TC-1 = 24.62, modeled = 24.50, target = 50.00, heatSink = -88.14, output = 100.0, timeout = 4100, exptTempC = 50.00, TecRate = 0.029
(1239377) TC: TC-1 = 24.61, modeled = 24.51, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 4250, exptTempC = 50.00, TecRate = 0.024
(1239532) TC: TC-1 = 24.61, modeled = 24.51, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 4400, exptTempC = 50.00, TecRate = 0.023
(1239677) TC: TC-1 = 24.61, modeled = 24.51, target = 50.00, heatSink = -87.93, output = 100.0, timeout = 4550, exptTempC = 50.00, TecRate = 0.019
(1239827) TC: TC-1 = 24.61, modeled = 24.52, target = 50.00, heatSink = -87.26, output = 100.0, timeout = 4700, exptTempC = 50.00, TecRate = 0.017
(1239976) TC: TC-1 = 24.61, modeled = 24.52, target = 50.00, heatSink = -87.50, output = 100.0, timeout = 4850, exptTempC = 50.00, TecRate = 0.026
(1240127) TC: TC-1 = 24.68, modeled = 24.53, target = 50.00, heatSink = -88.05, output = 100.0, timeout = 5000, exptTempC = 50.00, TecRate = 0.084
(1240282) TC: TC-1 = 25.00, modeled = 24.57, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 5150, exptTempC = 50.00, TecRate = 0.364
(1240429) TC: TC-1 = 25.47, modeled = 24.65, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 5300, exptTempC = 50.00, TecRate = 0.703
(1240579) TC: TC-1 = 26.57, modeled = 24.83, target = 50.00, heatSink = -87.50, output = 100.0, timeout = 5450, exptTempC = 50.00, TecRate = 1.473
(1240731) TC: TC-1 = 28.02, modeled = 25.14, target = 50.00, heatSink = -87.12, output = 100.0, timeout = 5600, exptTempC = 50.00, TecRate = 2.340
(1240879) TC: TC-1 = 29.61, modeled = 25.57, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 5750, exptTempC = 50.00, TecRate = 3.133
(1241030) TC: TC-1 = 31.26, modeled = 26.11, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 5900, exptTempC = 50.00, TecRate = 3.822
(1241184) TC: TC-1 = 32.97, modeled = 26.74, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 6050, exptTempC = 50.00, TecRate = 4.433
(1241337) TC: TC-1 = 34.09, modeled = 27.40, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 6200, exptTempC = 50.00, TecRate = 4.506
(1241482) TC: TC-1 = 35.75, modeled = 28.13, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 6350, exptTempC = 50.00, TecRate = 4.960
(1241632) TC: TC-1 = 37.36, modeled = 28.91, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 6500, exptTempC = 50.00, TecRate = 5.304
(1241783) TC: TC-1 = 38.93, modeled = 29.73, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 6650, exptTempC = 50.00, TecRate = 5.551
(1241932) TC: TC-1 = 40.42, modeled = 30.58, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 6800, exptTempC = 50.00, TecRate = 5.710
(1242086) TC: TC-1 = 41.86, modeled = 31.45, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 6950, exptTempC = 50.00, TecRate = 5.810
(1242242) TC: TC-1 = 42.80, modeled = 32.30, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 7100, exptTempC = 50.00, TecRate = 5.321
(1242386) TC: TC-1 = 44.21, modeled = 33.14, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 7250, exptTempC = 50.00, TecRate = 5.652
(1242536) TC: TC-1 = 45.53, modeled = 33.99, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 7400, exptTempC = 50.00, TecRate = 5.692
(1242686) TC: TC-1 = 46.73, modeled = 34.84, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 7550, exptTempC = 50.00, TecRate = 5.637
(1242836) TC: TC-1 = 47.89, modeled = 35.68, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 7700, exptTempC = 50.00, TecRate = 5.579
(1242992) TC: TC-1 = 49.02, modeled = 36.51, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 7850, exptTempC = 50.00, TecRate = 5.518
(1243139) TC: TC-1 = 49.76, modeled = 37.29, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 8000, exptTempC = 50.00, TecRate = 5.202
(1243287) TC: TC-1 = 50.85, modeled = 38.07, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 8150, exptTempC = 50.00, TecRate = 5.192
(1243438) TC: TC-1 = 51.86, modeled = 38.85, target = 50.00, heatSink = -87.12, output = 100.0, timeout = 8300, exptTempC = 50.00, TecRate = 5.124
(1243587) TC: TC-1 = 52.82, modeled = 39.61, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 8450, exptTempC = 50.00, TecRate = 5.051
(1243741) TC: TC-1 = 53.76, modeled = 40.36, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 8600, exptTempC = 50.00, TecRate = 4.972
(1243896) TC: TC-1 = 54.37, modeled = 41.08, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 8750, exptTempC = 50.00, TecRate = 4.543
(1244040) TC: TC-1 = 55.29, modeled = 41.78, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 8900, exptTempC = 50.00, TecRate = 4.654
(1244192) TC: TC-1 = 56.17, modeled = 42.47, target = 50.00, heatSink = -87.08, output = 100.0, timeout = 9050, exptTempC = 50.00, TecRate = 4.623
(1244342) TC: TC-1 = 57.03, modeled = 43.16, target = 50.00, heatSink = -87.55, output = 100.0, timeout = 9200, exptTempC = 50.00, TecRate = 4.591
(1244493) TC: TC-1 = 57.94, modeled = 43.85, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 9350, exptTempC = 50.00, TecRate = 4.613
(1244646) TC: TC-1 = 58.88, modeled = 44.55, target = 50.00, heatSink = -87.58, output = 100.0, timeout = 9500, exptTempC = 50.00, TecRate = 4.653
(1244798) TC: TC-1 = 59.50, modeled = 45.22, target = 50.00, heatSink = -87.67, output = 100.0, timeout = 9650, exptTempC = 50.00, TecRate = 4.455
