***PCR ON***
[161]PCR TEC set to 50°C
(5914843) _setPcrTecTempC: TEC Set Temp 50.000000
(5914844) _resetThermalControlState: RESET Peltier 1 control state
(5914848) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(5914855) _setThermalControlState: thermalControl-1: changing state 3->1
(5914862) tecCurvePredictorSetHoldPower: holdPower is NaN
(5914868) thermalControlSetEnable: Enabling Peltier 1
(5914944) TC: TC-1 = 22.94, modeled = 23.17, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = -0.019
(5915089) TC: TC-1 = 22.94, modeled = 23.16, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = -0.017
(5915240) TC: TC-1 = 22.94, modeled = 23.16, target = 50.00, heatSink = -85.67, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = -0.020
(5915389) TC: TC-1 = 22.93, modeled = 23.16, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = -0.020
(5915541) TC: TC-1 = 22.93, modeled = 23.16, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = -0.018
(5915695) TC: TC-1 = 22.93, modeled = 23.15, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = -0.018
(5915841) TC: TC-1 = 22.93, modeled = 23.15, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = -0.018
(5915994) TC: TC-1 = 22.92, modeled = 23.15, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = -0.018
(5916144) TC: TC-1 = 22.93, modeled = 23.15, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = -0.013
(5916294) TC: TC-1 = 22.92, modeled = 23.14, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = -0.014
(5916444) TC: TC-1 = 22.92, modeled = 23.14, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = -0.012
(5916600) TC: TC-1 = 22.93, modeled = 23.14, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 1700, exptTempC = 0.00, TecRate = -0.007
(5916745) TC: TC-1 = 22.95, modeled = 23.14, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 1850, exptTempC = 0.00, TecRate = 0.012
(5916895) TC: TC-1 = 22.98, modeled = 23.14, target = 50.00, heatSink = -85.87, output = 100.0, timeout = 2000, exptTempC = 0.00, TecRate = 0.028
(5917044) TC: TC-1 = 23.01, modeled = 23.15, target = 50.00, heatSink = -86.13, output = 100.0, timeout = 2150, exptTempC = 0.00, TecRate = 0.045
(5917195) TC: TC-1 = 23.03, modeled = 23.16, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 2300, exptTempC = 0.00, TecRate = 0.054
(5917351) TC: TC-1 = 23.06, modeled = 23.17, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2450, exptTempC = 0.00, TecRate = 0.062
(5917498) TC: TC-1 = 23.07, modeled = 23.18, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2600, exptTempC = 0.00, TecRate = 0.061
(5917648) TC: TC-1 = 23.09, modeled = 23.19, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 2750, exptTempC = 0.00, TecRate = 0.066
(5917799) TC: TC-1 = 23.14, modeled = 23.20, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 2900, exptTempC = 0.00, TecRate = 0.089
(5917948) TC: TC-1 = 23.26, modeled = 23.22, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 3050, exptTempC = 0.00, TecRate = 0.179
(5918100) TC: TC-1 = 23.70, modeled = 23.28, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 3200, exptTempC = 0.00, TecRate = 0.535
(5918256) TC: TC-1 = 24.30, modeled = 23.40, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 3350, exptTempC = 0.00, TecRate = 0.798
(5918399) TC: TC-1 = 25.74, modeled = 23.64, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 3500, exptTempC = 0.00, TecRate = 1.933
(5918551) TC: TC-1 = 27.58, modeled = 24.04, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 3650, exptTempC = 0.00, TecRate = 3.007
(5918700) TC: TC-1 = 29.63, modeled = 24.59, target = 50.00, heatSink = -85.83, output = 100.0, timeout = 3800, exptTempC = 0.00, TecRate = 4.035
(5918851) TC: TC-1 = 31.80, modeled = 25.29, target = 50.00, heatSink = -86.02, output = 100.0, timeout = 3950, exptTempC = 0.00, TecRate = 4.974
(5919007) TC: TC-1 = 34.07, modeled = 26.12, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 4100, exptTempC = 0.00, TecRate = 5.800
(5919154) TC: TC-1 = 35.50, modeled = 26.98, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4250, exptTempC = 0.00, TecRate = 5.854
(5919303) TC: TC-1 = 37.69, modeled = 27.92, target = 50.00, heatSink = -85.94, output = 100.0, timeout = 4400, exptTempC = 0.00, TecRate = 6.480
(5919455) TC: TC-1 = 39.79, modeled = 28.94, target = 50.00, heatSink = -85.94, output = 100.0, timeout = 4550, exptTempC = 0.00, TecRate = 6.905
(5919604) TC: TC-1 = 41.79, modeled = 30.01, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 4700, exptTempC = 0.00, TecRate = 7.197
(5919756) TC: TC-1 = 43.70, modeled = 31.10, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 4850, exptTempC = 0.00, TecRate = 7.380
(5919906) TC: TC-1 = 44.97, modeled = 32.19, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 5000, exptTempC = 0.00, TecRate = 6.792
(5920055) TC: TC-1 = 46.88, modeled = 33.27, target = 50.00, heatSink = -85.71, output = 100.0, timeout = 5150, exptTempC = 0.00, TecRate = 7.295
(5920205) TC: TC-1 = 48.62, modeled = 34.37, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 5300, exptTempC = 0.00, TecRate = 7.353
(5920356) TC: TC-1 = 50.27, modeled = 35.48, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 5450, exptTempC = 0.00, TecRate = 7.362
(5920506) TC: TC-1 = 51.92, modeled = 36.58, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 5600, exptTempC = 0.00, TecRate = 7.376
(5920663) TC: TC-1 = 53.54, modeled = 37.69, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 5750, exptTempC = 0.00, TecRate = 7.377
(5920818) TC: TC-1 = 54.59, modeled = 38.76, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 5900, exptTempC = 0.00, TecRate = 6.732
(5920962) TC: TC-1 = 56.17, modeled = 39.81, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 6050, exptTempC = 0.00, TecRate = 7.019
(5921114) TC: TC-1 = 57.71, modeled = 40.87, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 6200, exptTempC = 0.00, TecRate = 7.055
(5921263) TC: TC-1 = 59.13, modeled = 41.92, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 6350, exptTempC = 0.00, TecRate = 6.983
(5921415) TC: TC-1 = 60.47, modeled = 42.96, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 6500, exptTempC = 0.00, TecRate = 6.889
(5921569) TC: TC-1 = 61.76, modeled = 43.98, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 6650, exptTempC = 0.00, TecRate = 6.783
(5921715) TC: TC-1 = 62.61, modeled = 44.95, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 6800, exptTempC = 0.00, TecRate = 6.386
(5921864) TC: TC-1 = 63.86, modeled = 45.91, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 6950, exptTempC = 0.00, TecRate = 6.364
(5922021) TC: TC-1 = 65.04, modeled = 46.85, target = 50.00, heatSink = -85.94, output = 50.0, timeout = 7100, exptTempC = 0.00, TecRate = 6.285
(5922172) TC: TC-1 = 66.18, modeled = 47.79, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 7200, exptTempC = 0.00, TecRate = 6.199
(5922322) TC: TC-1 = 67.24, modeled = 48.71, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 7350, exptTempC = 0.00, TecRate = 6.071
(5922479) TC: TC-1 = 68.26, modeled = 49.61, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7500, exptTempC = 0.00, TecRate = 5.953
(5922631) TC: TC-1 = 68.93, modeled = 50.46, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7650, exptTempC = 0.00, TecRate = 5.608
(5922777) TC: TC-1 = 69.91, modeled = 51.29, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 7800, exptTempC = 0.00, TecRate = 5.560
(5922879) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 51.844826, threshold: 50.200001
(5922915) _setThermalControlState: thermalControl-1: changing state 1->3
(5922916) _setTempReachedCallback: Set Temp Reached
(5922926) TC: TC-1 = 70.84, modeled = 52.12, target = 50.00, heatSink = -85.67, output = -50.0, timeout = 7950, exptTempC = 50.00, TecRate = 5.475
