(8103693) systemRequestStateChange: System State Transition WARNING -> ERROR
(8103693) blePeriphNotifySubscription: ENTER NOTIFY
(8103696) systemRequestStateChange: Notify exit state change
***PCR ON***
[191]PCR TEC set to 50°C
(8112154) _setPcrTecTempC: TEC Set Temp 50.000000
(8112155) _resetThermalControlState: RESET Peltier 1 control state
(8112159) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(8112166) _setThermalControlState: thermalControl-1: changing state 3->1
(8112173) tecCurvePredictorSetHoldPower: holdPower is NaN
(8112179) thermalControlSetEnable: Enabling Peltier 1
(8112270) TC: TC-1 = 24.01, modeled = 20.39, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.492
(8112423) TC: TC-1 = 24.02, modeled = 20.46, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.483
(8112572) TC: TC-1 = 24.04, modeled = 20.54, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.470
(8112721) TC: TC-1 = 24.06, modeled = 20.61, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.465
(8112872) TC: TC-1 = 24.08, modeled = 20.68, target = 50.00, heatSink = -85.68, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.463
(8113021) TC: TC-1 = 24.11, modeled = 20.74, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.460
(8113171) TC: TC-1 = 24.12, modeled = 20.81, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.451
(8113329) TC: TC-1 = 24.14, modeled = 20.88, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.447
(8113476) TC: TC-1 = 24.16, modeled = 20.95, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.436
(8113625) TC: TC-1 = 24.18, modeled = 21.01, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.430
(8113776) TC: TC-1 = 24.19, modeled = 21.07, target = 50.00, heatSink = -85.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.423
(8113925) TC: TC-1 = 24.21, modeled = 21.14, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.419
