***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(96210) TC: TC-1 = 23.98, modeled = 20.59, target = 50.00, heatSink = -85.78, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = 0.387
(96360) TC: TC-1 = 23.98, modeled = 20.65, target = 50.00, heatSink = -85.53, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = 0.380
(96511) TC: TC-1 = 23.98, modeled = 20.70, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = 0.373
(96660) TC: TC-1 = 23.98, modeled = 20.76, target = 50.00, heatSink = -85.94, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = 0.368
(96818) TC: TC-1 = 23.97, modeled = 20.81, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = 0.362
(96964) TC: TC-1 = 23.97, modeled = 20.87, target = 50.00, heatSink = -85.76, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = 0.356
(97114) TC: TC-1 = 23.97, modeled = 20.92, target = 50.00, heatSink = -85.46, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = 0.347
(97265) TC: TC-1 = 23.97, modeled = 20.97, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = 0.344
(97414) TC: TC-1 = 23.97, modeled = 21.02, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = 0.337
(97568) TC: TC-1 = 23.96, modeled = 21.07, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = 0.329
(97724) TC: TC-1 = 23.96, modeled = 21.12, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = 0.325
