(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9203340) TC: TC-1 = 21.71, modeled = 20.14, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.293
(9203496) TC: TC-1 = 21.73, modeled = 20.19, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.279
(9203641) TC: TC-1 = 21.76, modeled = 20.23, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.282
(9203792) TC: TC-1 = 21.78, modeled = 20.27, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.277
(9203941) TC: TC-1 = 21.80, modeled = 20.31, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.274
(9204092) TC: TC-1 = 21.83, modeled = 20.35, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.270
(9204248) TC: TC-1 = 21.85, modeled = 20.39, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.267
(9204395) TC: TC-1 = 21.87, modeled = 20.43, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.259
(9204544) TC: TC-1 = 21.90, modeled = 20.47, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.262
(9204694) TC: TC-1 = 21.92, modeled = 20.51, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.263
(9204844) TC: TC-1 = 21.98, modeled = 20.55, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.287
(9204996) TC: TC-1 = 22.08, modeled = 20.60, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 1750, exptTempC = 50.00, TecRate = 0.352
(9205144) TC: TC-1 = 22.31, modeled = 20.66, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 1900, exptTempC = 50.00, TecRate = 0.524
(9205296) TC: TC-1 = 23.38, modeled = 20.82, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 2050, exptTempC = 50.00, TecRate = 1.395
(9205447) TC: TC-1 = 25.26, modeled = 21.16, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 2200, exptTempC = 50.00, TecRate = 2.671
(9205597) TC: TC-1 = 27.57, modeled = 21.69, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 2350, exptTempC = 50.00, TecRate = 4.002
(9205745) TC: TC-1 = 30.03, modeled = 22.41, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 2500, exptTempC = 50.00, TecRate = 5.164
(9205904) TC: TC-1 = 32.55, modeled = 23.29, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 2650, exptTempC = 50.00, TecRate = 6.185
(9206048) TC: TC-1 = 34.28, modeled = 24.19, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2800, exptTempC = 50.00, TecRate = 6.471
(9206198) TC: TC-1 = 36.85, modeled = 25.24, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 2950, exptTempC = 50.00, TecRate = 7.275
(9206349) TC: TC-1 = 39.37, modeled = 26.40, target = 50.00, heatSink = -85.72, output = 100.0, timeout = 3100, exptTempC = 50.00, TecRate = 7.911
(9206498) TC: TC-1 = 41.82, modeled = 27.64, target = 50.00, heatSink = -85.98, output = 100.0, timeout = 3250, exptTempC = 50.00, TecRate = 8.375
(9206649) TC: TC-1 = 44.17, modeled = 28.93, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 3400, exptTempC = 50.00, TecRate = 8.701
