***Stage1 ON***
[9]TC TEC set to 50°C
(1127473) _setStage1TecTempC: TEC Set Temp 50.000000
(1127474) _resetThermalControlState: RESET Peltier 0 control state
(1127478) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1127485) _setThermalControlState: thermalControl-0: changing state 3->1
(1127492) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1127500) thermalControlSetEnable: Enabling Peltier 0
(1127517) TC: TC-0 = 22.53, modeled = 14.15, target = 50.00, heatSink = -87.71, output = 50.0, timeout = 0, exptTempC = 0.00, TecRate = 0.185
(1127667) TC: TC-0 = 22.53, modeled = 14.17, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 150, exptTempC = 0.00, TecRate = 0.160
(1127817) TC: TC-0 = 22.53, modeled = 14.20, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 300, exptTempC = 0.00, TecRate = 0.183
(1127969) TC: TC-0 = 22.53, modeled = 14.23, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 450, exptTempC = 0.00, TecRate = 0.197
(1128124) TC: TC-0 = 22.53, modeled = 14.26, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 600, exptTempC = 0.00, TecRate = 0.170
(1128269) TC: TC-0 = 22.53, modeled = 14.28, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 750, exptTempC = 0.00, TecRate = 0.182
(1128419) TC: TC-0 = 22.53, modeled = 14.31, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 900, exptTempC = 0.00, TecRate = 0.181
(1128569) TC: TC-0 = 22.53, modeled = 14.34, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 1050, exptTempC = 0.00, TecRate = 0.176
(1128719) TC: TC-0 = 22.53, modeled = 14.36, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 1200, exptTempC = 0.00, TecRate = 0.170
(1128874) TC: TC-0 = 22.53, modeled = 14.39, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 1350, exptTempC = 0.00, TecRate = 0.181
(1129020) TC: TC-0 = 22.53, modeled = 14.41, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 1500, exptTempC = 0.00, TecRate = 0.181
(1129169) TC: TC-0 = 22.53, modeled = 14.44, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 1650, exptTempC = 0.00, TecRate = 0.166
(1129320) TC: TC-0 = 22.53, modeled = 14.47, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 1800, exptTempC = 0.00, TecRate = 0.160
(1129471) TC: TC-0 = 22.53, modeled = 14.49, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 1950, exptTempC = 0.00, TecRate = 0.179
(1129621) TC: TC-0 = 22.53, modeled = 14.52, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 2100, exptTempC = 0.00, TecRate = 0.182
(1129771) TC: TC-0 = 22.53, modeled = 14.54, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 2250, exptTempC = 0.00, TecRate = 0.176
(1129814) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2128
(1129921) TC: TC-0 = 22.53, modeled = 14.57, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 2400, exptTempC = 0.00, TecRate = 0.170
(1130070) TC: TC-0 = 22.53, modeled = 14.59, target = 50.00, heatSink = -87.58, output = 100.0, timeout = 2550, exptTempC = 0.00, TecRate = 0.174
(1130221) TC: TC-0 = 22.53, modeled = 14.62, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 2700, exptTempC = 0.00, TecRate = 0.180
(1130371) TC: TC-0 = 22.53, modeled = 14.64, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 2850, exptTempC = 0.00, TecRate = 0.158
(1130528) TC: TC-0 = 22.53, modeled = 14.67, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 3000, exptTempC = 0.00, TecRate = 0.173
(1130675) TC: TC-0 = 22.53, modeled = 14.70, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 3150, exptTempC = 0.00, TecRate = 0.174
(1130824) TC: TC-0 = 22.53, modeled = 14.72, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 3300, exptTempC = 0.00, TecRate = 0.174
(1130975) TC: TC-0 = 22.54, modeled = 14.75, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 3450, exptTempC = 0.00, TecRate = 0.190
(1131126) TC: TC-0 = 22.53, modeled = 14.77, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 3600, exptTempC = 0.00, TecRate = 0.168
(1131275) TC: TC-0 = 22.53, modeled = 14.80, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 3750, exptTempC = 0.00, TecRate = 0.185
(1131429) TC: TC-0 = 22.53, modeled = 14.82, target = 50.00, heatSink = -87.54, output = 100.0, timeout = 3900, exptTempC = 0.00, TecRate = 0.169
(1131575) TC: TC-0 = 22.53, modeled = 14.84, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 4050, exptTempC = 0.00, TecRate = 0.175
(1131725) TC: TC-0 = 22.54, modeled = 14.87, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 4200, exptTempC = 0.00, TecRate = 0.153
(1131876) TC: TC-0 = 22.53, modeled = 14.89, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 4350, exptTempC = 0.00, TecRate = 0.153
(1132026) TC: TC-0 = 22.53, modeled = 14.92, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 4500, exptTempC = 0.00, TecRate = 0.156
(1132176) TC: TC-0 = 22.53, modeled = 14.94, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 4650, exptTempC = 0.00, TecRate = 0.168
(1132330) TC: TC-0 = 22.53, modeled = 14.97, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 4800, exptTempC = 0.00, TecRate = 0.149
(1132476) TC: TC-0 = 22.53, modeled = 14.99, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 4950, exptTempC = 0.00, TecRate = 0.143
(1132626) TC: TC-0 = 22.53, modeled = 15.01, target = 50.00, heatSink = -87.12, output = 100.0, timeout = 5100, exptTempC = 0.00, TecRate = 0.142
(1132777) TC: TC-0 = 22.53, modeled = 15.04, target = 50.00, heatSink = -87.45, output = 100.0, timeout = 5250, exptTempC = 0.00, TecRate = 0.154
(1132927) TC: TC-0 = 22.54, modeled = 15.06, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 5400, exptTempC = 0.00, TecRate = 0.162
(1133076) TC: TC-0 = 22.54, modeled = 15.09, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 5550, exptTempC = 0.00, TecRate = 0.166
(1133230) TC: TC-0 = 22.54, modeled = 15.11, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 5700, exptTempC = 0.00, TecRate = 0.170
(1133377) TC: TC-0 = 22.54, modeled = 15.13, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 5850, exptTempC = 0.00, TecRate = 0.137
(1133526) TC: TC-0 = 22.53, modeled = 15.15, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 6000, exptTempC = 0.00, TecRate = 0.169
(1133677) TC: TC-0 = 22.54, modeled = 15.18, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 6150, exptTempC = 0.00, TecRate = 0.158
(1133827) TC: TC-0 = 22.54, modeled = 15.20, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 6300, exptTempC = 0.00, TecRate = 0.165
(1133977) TC: TC-0 = 22.54, modeled = 15.23, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 6450, exptTempC = 0.00, TecRate = 0.170
(1134131) TC: TC-0 = 22.54, modeled = 15.25, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 6600, exptTempC = 0.00, TecRate = 0.153
(1134278) TC: TC-0 = 22.54, modeled = 15.27, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 6750, exptTempC = 0.00, TecRate = 0.156
(1134428) TC: TC-0 = 22.54, modeled = 15.30, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 6900, exptTempC = 0.00, TecRate = 0.144
(1134578) TC: TC-0 = 22.54, modeled = 15.32, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 7050, exptTempC = 0.00, TecRate = 0.154
(1134727) TC: TC-0 = 22.54, modeled = 15.34, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 7200, exptTempC = 0.00, TecRate = 0.160
