***Stage1 ON***
[46]TC TEC set to 50°C
(1912774) _setStage1TecTempC: TEC Set Temp 50.000000
(1912775) _resetThermalControlState: RESET Peltier 0 control state
(1912779) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1912786) _setThermalControlState: thermalControl-0: changing state 3->1
(1912793) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1912801) thermalControlSetEnable: Enabling Peltier 0
(1912882) TC: TC-0 = 20.32, modeled = 8.63, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.258
(1913031) TC: TC-0 = 20.33, modeled = 8.66, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.257
(1913185) TC: TC-0 = 20.35, modeled = 8.70, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.257
(1913339) TC: TC-0 = 20.36, modeled = 8.74, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.256
(1913484) TC: TC-0 = 20.37, modeled = 8.78, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.255
(1913634) TC: TC-0 = 20.39, modeled = 8.82, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.255
(1913785) TC: TC-0 = 20.41, modeled = 8.86, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.254
(1913935) TC: TC-0 = 20.43, modeled = 8.89, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.254
(1914088) TC: TC-0 = 20.45, modeled = 8.93, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.253
(1914242) TC: TC-0 = 20.46, modeled = 8.97, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.252
(1914388) TC: TC-0 = 20.49, modeled = 9.01, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.252
(1914536) TC: TC-0 = 20.52, modeled = 9.05, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 1750, exptTempC = 50.00, TecRate = 0.252
(1914687) TC: TC-0 = 20.55, modeled = 9.08, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 1900, exptTempC = 50.00, TecRate = 0.251
(1914837) TC: TC-0 = 20.58, modeled = 9.12, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 2050, exptTempC = 50.00, TecRate = 0.251
(1914989) TC: TC-0 = 20.68, modeled = 9.16, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 2200, exptTempC = 50.00, TecRate = 0.252
(1915139) TC: TC-0 = 20.96, modeled = 9.20, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 2350, exptTempC = 50.00, TecRate = 0.256
(1915288) TC: TC-0 = 22.01, modeled = 9.24, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 2500, exptTempC = 50.00, TecRate = 0.276
(1915438) TC: TC-0 = 23.83, modeled = 9.28, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 2650, exptTempC = 50.00, TecRate = 0.309
(1915588) TC: TC-0 = 26.36, modeled = 9.33, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 2800, exptTempC = 50.00, TecRate = 0.357
(1915738) TC: TC-0 = 29.26, modeled = 9.39, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 2950, exptTempC = 50.00, TecRate = 0.412
(1915892) TC: TC-0 = 31.30, modeled = 9.46, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 3100, exptTempC = 50.00, TecRate = 0.450
(1916037) TC: TC-0 = 34.62, modeled = 9.53, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 3250, exptTempC = 50.00, TecRate = 0.514
(1916188) TC: TC-0 = 37.95, modeled = 9.62, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 3400, exptTempC = 50.00, TecRate = 0.579
(1916338) TC: TC-0 = 41.12, modeled = 9.71, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 3550, exptTempC = 50.00, TecRate = 0.641
