DATAQ:  | liquid = 24.02 |
DATAQ:  | liquid = 24.09 |
DATAQ:  | liquid = 24.09 |
DATAQ:  | liquid = 23.89 |
DATAQ:  | liquid = 24.0 |
DATAQ:  | liquid = 23.9 |
DATAQ:  | liquid = 23.98 |
DATAQ:  | liquid = 23.93 |
DATAQ:  | liquid = 24.05 |
DATAQ:  | liquid = 23.93 |
DATAQ:  | liquid = 23.92 |
DATAQ:  | liquid = 23.93 |
DATAQ:  | liquid = 23.94 |
DATAQ:  | liquid = 24.02 |
DATAQ:  | liquid = 23.9 |
DATAQ:  | liquid = 23.9 |
DATAQ:  | liquid = 23.97 |
DATAQ:  | liquid = 23.91 |
DATAQ:  | liquid = 23.97 |
DATAQ:  | liquid = 23.99 |
DATAQ:  | liquid = 23.89 |
DATAQ:  | liquid = 23.9 |
DATAQ:  | liquid = 23.98 |
DATAQ:  | liquid = 23.86 |
