inst,cq,tm,fmax,pcrnoise,meltnoise
AdvBuild25,30 | 79,,-122,0.72 | 0.07 ,
AdvBuild02,14 | 75,,-158,0.51 | 0.07 ,
AdvBuild25,34 | 84,,-21,0.97 | 0.30 ,
AdvBuild02, | 75,,-265,0.37 | 0.12 ,
AdvBuild02,30 | 84,,-170,0.76 | 0.13 ,
AdvBuild25,31 | 84,,174,0.42 | 0.04 ,
AdvBuild01,21 | 85,,-46,1.59 | 0.20 ,
AdvBuild25,23 | 74,,-111,0.32 | 0.12 ,
AdvBuild02,24 | 86,,-506,0.38 | 0.04 ,
AdvBuild02,37 | 65,,20,1.22 | 0.11 ,
AdvBuild02,24 | 85,,-597,0.52 | 0.07 ,
AdvBuild25,13 | 67,,-22,0.50 | 0.14 ,
AdvBuild01,16 | 79,,-302,0.42 | 0.12 ,
AdvBuild02,29 | 84,,1371,0.11 | 0.29 ,
AdvBuild25,31 | 84,,232,0.10 | 0.03 ,
AdvBuild01,32 | 84,,1011,0.29 | 0.04 ,
AdvBuild25,10 | 74,,-87,0.20 | 0.12 ,
AdvBuild27,36 | 85,,213,0.05 | 0.04 ,
AdvBuild25,16 | 70,,-31,1.12 | 0.23 ,
AdvBuild25,18 | 81,,-160,0.31 | 0.11 ,
AdvBuild25,27 | 76,,-77,0.47 | 0.17 ,
AdvBuild25,19 | 86,,-159,0.33 | 0.07 ,
AdvBuild25,21 | ,,-16,0.71 | 0.46 ,
AdvBuild25,33 | 83,,490,0.05 | 0.22 ,
AdvBuild26,31 | 84,,988,0.04 | 0.03 ,
AdvBuild01,12 | ,,-14,0.48 |  ,
AdvBuild02,,,, |  ,
AdvBuild02,27 | 83,,2620,0.02 | 0.19 ,
AdvBuild01,16 | 81,,-48,0.14 | 0.96 ,
AdvBuild02,28 | 83,,2674,0.04 | 0.05 ,
AdvBuild02,,,, |  ,
AdvBuild25,26 | 83,,1083,0.03 | 0.05 ,
AdvBuild01,30 | 83,,1552,0.03 | 0.04 ,
AdvBuild26,29 | 83,,1426,0.02 | 0.02 ,
AdvBuild05,19 | ,,-79,0.40 | 0.06 ,
AdvBuild26,27 | 83,,1907,0.01 | 0.02 ,
AdvBuild25,29 | 83,,920,0.08 | 0.04 ,
AdvBuild05,36 | 68,,116,0.71 | 0.05 ,
AdvBuild01,30 | 83,,2133,0.02 | 0.05 ,
AdvBuild01,29 | 83,,1669,0.03 | 0.04 ,
AdvBuild02,31 | 83,,1214,0.07 | 0.04 ,
AdvBuild25,31 | 83,,891,0.02 | 0.05 ,
AdvBuild26,28 | 83,,1777,0.02 | 0.04 ,
AdvBuild01,16 | 81,,-1054,0.24 | 0.11 ,
AdvBuild02,35 | 83,,694,0.10 | 0.04 ,
AdvBuild26,30 | 83,,1527,0.01 | 0.02 ,
AdvBuild25,31 | 83,,835,0.02 | 0.03 ,
AdvBuild01,29 | 83,,2584,0.09 | 0.02 ,
AdvBuild26,32 | 84,,709,0.03 | 0.02 ,
AdvBuild25,29 | 84,,772,0.03 | 0.05 ,
AdvBuild02,32 | 84,,671,0.08 | 0.02 ,
AdvBuild26,30 | 84,,914,0.02 | 0.02 ,
AdvBuild25,29 | 84,,742,0.02 | 0.03 ,
AdvBuild12,32 | 83,,596,0.09 | 0.14 ,
AdvBuild01,30 | 84,,1182,0.02 | 0.03 ,
AdvBuild02,29 | 83,,1211,0.02 | 0.03 ,
AdvBuild02,37 | 85,,104,0.29 | 0.18 ,
AdvBuild01,24 | ,,-103,0.21 | 0.06 ,
AdvBuild01,31 | 83,,1062,0.03 | 0.03 ,
AdvBuild25,35 | 84,,220,0.08 | 0.18 ,
AdvBuild26,33 | 83,,707,0.04 | 0.03 ,
AdvBuild02,32 | 83,,1205,0.07 | 0.02 ,
AdvBuild02,25 | 82,,2545,0.01 | 0.02 ,
AdvBuild25,18 | 86,,-76,0.14 | 0.15 ,
AdvBuild01,15 | 82,,-21,0.28 | 10.08 ,
AdvBuild26,32 | 83,,855,0.03 | 0.02 ,
AdvBuild02,34 | 84,,379,0.12 | 0.04 ,
AdvBuild26,31 | 83,,707,0.11 | 0.02 ,
AdvBuild25,34 | 83,,270,0.10 | 0.05 ,
AdvBuild01,31 | 83,,1485,0.03 | 0.03 ,
AdvBuild02,33 | 84,,863,0.06 | 0.04 ,
AdvBuild26,31 | 83,,1010,0.06 | 0.03 ,
AdvBuild25,29 | 83,,876,0.02 | 0.03 ,
AdvBuild01,29 | 83,,1360,0.05 | 0.04 ,
AdvBuild26,30 | 84,,1157,0.04 | 0.03 ,
AdvBuild25,31 | 84,,430,0.05 | 0.05 ,
AdvBuild02,5 | ,,-57,0.56 | 0.04 ,
AdvBuild27,20 | 67,,-8,2.18 | 0.32 ,
AdvBuild01,28 | 83,,1933,0.05 | 0.05 ,
AdvBuild01,29 | 83,,1516,0.05 | 0.04 ,
AdvBuild27,18 | ,,-498,0.02 | 0.44 ,
AdvBuild27,17 | 83,,-173,0.05 | 0.53 ,
AdvBuild01,27 | 83,,2535,0.03 | 0.04 ,
AdvBuild27,27 | 83,,1025,0.02 | 0.02 ,
AdvBuild01,27 | 83,,1981,0.04 | 0.03 ,
AdvBuild27,26 | 83,,1167,0.01 | 0.01 ,
AdvBuild01,25 | 83,,3010,0.03 | 0.04 ,
AdvBuild27,27 | 83,,918,0.02 | 0.03 ,
AdvBuild01,25 | 83,,2828,0.02 | 0.04 ,
AdvBuild27,15 | 89,,-534,0.05 | 0.12 ,
AdvBuild01,27 | 83,,1702,0.01 | 0.03 ,
AdvBuild27,16 | ,,-606,0.02 | 0.23 ,
AdvBuild01,26 | 83,,2486,0.04 | 0.04 ,
AdvBuild27,17 | 87,,-315,0.05 | 0.27 ,
AdvBuild25,29 | ,,-13,0.58 | 0.31 ,
AdvBuild01,26 | 83,,2385,0.06 | 0.04 ,
AdvBuild26,28 | 84,,489,0.04 | 0.07 ,
AdvBuild10,31 | 83,,885,0.11 | 0.04 ,
AdvBuild01,29 | 83,,1921,0.03 | 0.15 ,
