id,type,inst,cq,fmax,pcr noise,melt noise,tm
91adeb29-f3cd-4b0e-b0d6-97c9f04a3cee,AdvBuild,1,11,-160,0.67,0.05, 
8d2c7feb-8b4b-40ea-952d-a95f9e67063a,AdvBuild,1,24,-153,0.72,0.17, 
b64b0c40-3437-4cea-bf6f-a8df2f06c6a9,AdvBuild,1,12,-148,0.52,0.06,60
bda32826-e94c-4687-b6e0-62bcda0169a2,AdvBuild,1,12,-61,0.76,0.05, 
c3632e7d-c707-47df-a614-f55bfea348c0,AdvBuild,5,8,-63,0.22,0.07, 
618f8707-79ba-4b72-b735-5c96a46b63e0,AdvBuild,5,9,-60,0.54,  , 
09fa1e2d-4a95-4e1f-83c1-786abd84c340,AdvBuild,5,31,-51,0.37,0.09, 
e4c72cd3-48f5-43fe-a264-7686507c690a,AdvBuild,5,8,-47,0.53,0.06, 
4d288216-ea65-425d-831b-5be3c7d157ea,AdvBuild,5,30,1042,0.03,0.02,84
a5279f28-7125-4e41-a7bf-f0a96f70749f,AdvBuild,5,29,1062,0.06,0.04,84
b461a321-9c92-4a31-b470-588df87a2897,AdvBuild,5,29,1161,0.08,0.04,84
e195189e-1190-4ce2-92cd-e6184f595534,AdvBuild,5,35,1237,0.05,0.03,84
19127b38-5ff4-400f-adb5-c7e8691390cc,AdvBuild,5,30,1359,0.05,0.2,84
5a736802-3ca0-4eb2-b8da-414361fe3e06,AdvBuild,5,29,1434,0.05,0.04,84
e4171702-cc9b-45bf-a921-975ab63891ac,AdvBuild,5,29,1827,0.02,0.03,84
0c8b9f17-dffa-45bb-b299-e867947b347b,AdvBuild,5,30,2317,0.02,0.16,84
95adafb7-34bb-4e3a-8f75-486ee7ebec3a,AdvBuild,5,32,2907,0.03,0.05,84
2a00d5f3-1117-4d40-8398-d0a5a0d98d72,AdvBuild,5,30,3018,0.02,0.02,84
6d202ba9-8cce-46ca-8070-d4038d99f4da,AdvBuild,5,33,3328,0.01,0.04,84
ec0e60c2-bcb5-4d74-92ec-4d3beda84144,AdvBuild,6,15,-118,1.87,0.06,60
54f4491b-123b-434f-bcbd-08abb85b7f26,AdvBuild,6,19,-112,0.54,0.05, 
744774cd-4555-4c7e-ac1c-5eed932e8b3f,AdvBuild,6,8,-56,0.17,  , 
8b259bb4-dea6-4783-ab8d-846fefdae791,AdvBuild,6,,38,1.06,0.07,
a4b45a93-60d3-4a63-bcd5-356d21be62a8,AdvBuild,6,30,592,0.05,0.04,84
e52cbfcf-d84b-474f-a1aa-12f52291a73d,AdvBuild,6,31,747,0.09,0.03,85
da8670f8-811c-4edd-8e1e-4b75db4a33e4,AdvBuild,6,30,915,0.04,0.09,85
9c89c594-3482-4f15-9f41-17ed059bbb00,AdvBuild,6,31,1184,0.05,0.04,84
b23e535c-41f9-41ef-94b2-1f198d55747f,AdvBuild,6,33,1373,0.07,0.02,85
1d0680e9-0e3f-483c-bcaf-cc8ae6ba8954,AdvBuild,6,35,1379,0.04,0.05,85
4017f24d-d252-4d96-bb1f-c1e6af28fbb3,AdvBuild,6,32,1663,0.02,0.03,85
9c9bbd6c-db62-4352-b7d3-98988305f810,AdvBuild,6,33,2251,0.03,0.02,84
f6b4d8c9-542e-4975-8985-7d97c900e352,AdvBuild,6,33,2521,0.03,0.03,84
59c007c9-13a8-4a62-8a8e-f1bb25a3b2d7,AdvBuild,8,16,-254,0.25,0.15, 
e5c9e881-8cf7-4ad2-b31f-68e161a9cd48,AdvBuild,8,24,-167,0.49,0.05, 
87398ea2-1241-43ad-a389-10b7915ecf72,AdvBuild,8,17,-118,3.79,0.29,70
8afdb650-e337-4907-943f-d94a9715ff66,AdvBuild,8,17,-31,1.2,0.08, 
ce07eb41-8ea8-4e44-afc4-74128fea21a5,AdvBuild,11,19,-173,0.52,0.08, 
ea43c40c-d056-4c72-bb0f-aabc02daab49,AdvBuild,11,16,-132,0.18,0.07,62
5df05e04-1f66-47f1-92cd-b1cadc5df4d1,AdvBuild,11,13,-115,0.35,0.19,63
38b4cc86-86ca-4bc6-aca5-ddfe7fca25eb,AdvBuild,11,31,-64,5.04,0.09, 
55b88971-b1f6-4764-af15-b4652d9208a9,AdvBuild,11,22,-43,1.03,0.06, 
a4e74762-a44a-4c90-92ca-a6a2cbc81fcd,AdvBuild,12, ,1,1.3,1.39,64
73443cb2-e0ea-4da9-bf3c-1a4c1a4fc75e,AdvBuild,25,15,-2641,0.07,0.08,87
b0b8cabf-1c92-480a-a8af-d02b30d9ba72,AdvBuild,25,16,-693,0.04,0.05,88
1213b9ec-b738-4fea-af44-3783e63d198d,AdvBuild,25,19,-92,0.23,0.07,65
2bf033bb-a575-4016-b056-3b378ed621ce,AdvBuild,25,12,-63,0.31,0.06, 
58174af4-9bfb-4bba-a1d7-cbdba6eab49b,AdvBuild,25,31,-29,2.6,0.1, 
4a57df6f-1ce9-4ddc-a202-f34d98404680,AdvBuild,25,36,402,0.1,0.09,85
2e7f560d-9de2-4efc-a0ae-d70c8562e9dc,AdvBuild,25,36,539,0.07,0.1,85
bc520e63-295f-4469-946c-06ad38b7db9d,AdvBuild,25,35,769,0.04,0.02,85
6aa36137-c551-4178-8bc6-5478534adca8,AdvBuild,25,31,834,0.04,0.04,85
2b0c03bc-d922-455a-b017-183d8411dec2,AdvBuild,25,30,1029,0.05,0.04,85
f71501ce-7816-4f3d-9cb3-0c24dd211152,AdvBuild,25,34,1320,0.04,0.04,85
60f6b62f-7329-4683-9bc5-88fcb70825a0,AdvBuild,25,34,1414,0.02,0.02,85
2cf186f7-435f-4eb7-b73c-2737ab69d413,AdvBuild,25,32,1819,0.07,0.05,85
418debcc-8560-4fed-9541-1a1c1897ec3d,AdvBuild,25,33,1881,0.02,0.02,85
5d9ea6c6-10b9-4500-8673-d0d109d04cac,AdvBuild,25,33,2037,0.02,0.05,84
fc1a84d0-05f2-483d-a6ef-97557f763058,AdvBuild,26,34,89,0.22,0.08,85
7d317e44-4028-466a-8979-41ad700dd52e,AdvBuild,27,,-162,0.15,  ,
6ccee8a9-a703-4a71-b434-3d537960fe81,AdvBuild,27,22,-50,0.44,0.06,62
a677cc82-acc0-472b-a31a-7da91a913831,AdvBuild,27,,-26,0.14,  ,
519ada0d-b04a-4d65-986e-646d649315f8,AdvBuild,27,7,47,0.81,0.04,74
a96a6b6d-11d6-4439-862a-956d5f7c94f6,AdvBuild,27,32,49,0.88,0.1,74
cb0b9d04-9f68-403a-8b3c-ed990312cbf1,AdvBuild,27,38,83,0.34,0.11,91
0f201b83-b57f-4db8-a9cc-5099ccd706db,AdvBuild,27,36,427,0.08,0.04,85
b2f49698-b061-45ae-aa69-fcb5907c80af,AdvBuild,27,32,792,0.26,0.06,85
2d2414c3-31ed-4627-a9d1-2afa57002d1a,AdvBuild,27,33,1780,0.03,0.01,84
cd9db04b-95a0-4d29-9907-241b8787540c,AdvBuild,27,33,1842,0.02,0.02,84
5f54d4b3-c3e8-4965-8bb9-85573f6592ab,AdvBuild,27,34,1870,0.02,0.02,85
9774f7a7-9bb4-4a7d-8a51-6ec35ef63bf5,AdvBuild,27,33,2142,0.04,0.02,84
