id,memo,type,inst,cq,tm,lot,fmax,pcr noise,melt noise
b154da72-1a30-4daf-9abe-d27305d0b3f9,PMMV - F.06 - 255 - 2.3,AdvBuild,1,21,85,2873,-46,1.59,0.2
d69869d5-f325-4656-a213-71537c94f1b3,PMMV - F.06 - 255 - 2.3,AdvBuild,1,16,79,2873,-302,0.42,0.12
e9e9176a-3b23-408d-a174-0636c1b2dbba,PMMV - F.06 - 255 - 2.3,AdvBuild,1,32,84,2873,1011,0.29,0.04
533446bf-a983-48de-82cd-057132b657f1,PMMV - F.06 - 255 - 2.2,AdvBuild,1,12, ,2873,-14,0.48,  
a06ccbf0-9675-4dee-bb77-c080bf42a5d2,PMMV - F.06 - 255 - 2.1,AdvBuild,1,16,81,2867,-48,0.14,0.96
8ed970de-681c-4718-9dde-564930144fb6,PMMV - F.06 - 255 - 2.2,AdvBuild,1,30,83,2867,1552,0.03,0.04
8fb2ee44-94d7-4472-8e09-fcc041f3cd99,PMMV - F.06 - 255 - 2.2,AdvBuild,1,30,83,2867,2133,0.02,0.05
cb7d037a-8bea-4d82-902d-69817ff8048a,PMMV - F.06 - 255 - 2.2,AdvBuild,1,29,83,2867,1669,0.03,0.04
6116829f-1e1d-455c-967a-7fb7bb49ffca,PMMV - F.06 - 255 - 2.2 ,AdvBuild,1,16,81,2867,-1054,0.24,0.11
f78434d0-6fc7-401d-9fb5-b800afbd3c0f,PMMV - F.06 - 255 - 2.2 ,AdvBuild,1,29,83,2860,2584,0.09,0.02
45609043-42ad-4f16-945a-b124d2399802,PMMV - F.06 - 255 - 2.2 ,AdvBuild,1,30,84,2860,1182,0.02,0.03
8dce3fb6-34ed-4745-a95b-8ae9ed28a15b,PMMV - F.06 - 255 - 1.2,AdvBuild,1,24, ,2840,-103,0.21,0.06
1ab5a6c3-2ebe-4978-a703-08c93c907e1f,PMMV - F.06 - 255 - 2.2,AdvBuild,1,31,83,2840,1062,0.03,0.03
80124ceb-1819-475a-b91f-3e178a5f16d8,PMMV - F.06 - 255 - 2.2,AdvBuild,1,15,82,2840,-21,0.28,10.08
806f9566-c713-45d7-b70b-238ec65d1d0d,PMMV - F.06 - 255 - 2.2,AdvBuild,1,31,83,2840,1485,0.03,0.03
557f756b-7fb9-441f-8cb7-a89e35b414af,PMMV - F.06 - 255 - 2.2,AdvBuild,1,29,83,2840,1360,0.05,0.04
ccd3dc7a-02a6-44e2-a70e-521f53da06cd,PMMV - F.06 - 255 - 2.2,AdvBuild,1,28,83,2840,1933,0.05,0.05
61c87245-0dd8-456c-b76a-854cbe0ca612,PMMV - F.06 - 255 - 2.2,AdvBuild,1,29,83,2840,1516,0.05,0.04
f3419165-04d9-476b-8061-4e26536207fb,PMMV - F.06 - 255 - 2.1,AdvBuild,1,27,83,2840,2535,0.03,0.04
6fcac625-5937-41e5-aac6-8e36cbc2faae,PMMV - F.06 - 255 - 2.1,AdvBuild,1,27,83,2840,1981,0.04,0.03
b105335b-aa9b-465b-98da-9b9f539272ea,PMMV - F.06 - 255 - 2.1,AdvBuild,1,25,83,2840,3010,0.03,0.04
1cef5e97-cc87-4f92-a8e7-25858c186832,PMMV - F.06 - 255 - 2.1,AdvBuild,1,25,83,2840,2828,0.02,0.04
036d8254-1786-434f-8d14-57f6ffc54bd7,PMMV - F.06 - 255 - 2.1,AdvBuild,1,27,83,2840,1702,0.01,0.03
0432147a-8bc6-4daf-9449-69bacfbda17f,PMMV - F.06 - 255 - 2.1,AdvBuild,1,26,83,2840,2486,0.04,0.04
3d6f6123-c79f-4d75-94b4-7e10c63c5144,PMMV - F.06 - 255 - 2.1 ,AdvBuild,1,26,83,2823,2385,0.06,0.04
60874a41-3479-45f5-a7e3-60d105c41f90,PMMV - F.06 - 255 - 2.1,AdvBuild,1,29,83,2823,1921,0.03,0.15
c524a1b3-96e9-4f08-b0a8-a9e058597117,PMMV - F.06 - 255 - 2.1,AdvBuild,1,28,83,2823,4582,0.02,0.03
