id,type,inst,cq,fmax,pcr noise,melt noise,tm
1dc8863a-c8c7-4686-bacd-533e84c99693,AdvBuild,1,23.7,1765,0.08,0.03,76
c9835670-2d47-43e8-ac07-94ea3bc6377f,AdvBuild,1,24.4,1785,0.07,0.06,75.8
4ed7ba4f-9eed-4025-918d-02ef45000018,AdvBuild,1,16,-103,0.1,0.09,73
95ddf2af-4427-446c-937e-339c205f82e1,AdvBuild,1,25,1835,0.06,0.02,76
2a94f117-6f49-4dce-8a0a-42956fd5f222,AdvBuild,1,25,2391,0.06,0.03,76
d58debc5-c23c-4cd8-a2fe-e24990127ed1,AdvBuild,1,25,1419,0.05,0.06,76
a288f148-9155-4e14-98ed-4db989bca9d9,AdvBuild,1,25,1326,0.05,0.22,76
471c9ad1-5d19-4957-b789-35e6f7a9a2ca,AdvBuild,1,25,1694,0.06,0.09,76
1e45934c-3fb1-46ee-93d6-ff7c353c9d15,AdvBuild,1,27,3192,0.03,0.14,76
107e752b-f3ed-4b5e-986f-2d52b38050bc,AdvBuild,1,24.9,1559,0.14,0.05,76.3
2facc303-4535-4b38-911f-8251bb4bdd19,AdvBuild,1,25,989,0.09,0.03,76
395ff009-53e1-40f8-ada5-cff3aabb859c,AdvBuild,1,,, ,  ,
0907cd00-785f-4486-9bdd-97842611e983,AdvBuild,1,25,902,0.05,0.02,76
28b901df-5ab5-47aa-bad3-20577fbebdd1,AdvBuild,1,25,1595,0.09,0.04,76
55cab85d-4d9f-415b-9fbe-0bce53f70d37,AdvBuild,1,24.4,1645,0.14,0.06,75.8
ac52dad7-5726-4669-bfd5-eeb170396459,AdvBuild,1,27,-72,0.87,0.12, 
cb6ee7eb-e7a9-4720-a963-775621e096e0,AdvBuild,1,17,363,0.76,0.53,64
415dadbb-375d-4f46-800c-2db047d553af,AdvBuild,1,25,962,0.09,0.06,75
8718989b-c0bc-499d-8b27-eb9a5d1e2bc8,AdvBuild,1,11,-60,0.89,0.14, 
443fecb6-307a-4fa0-a19e-8406ce04179e,AdvBuild,1,18,-38,1.27,0.1,60
4de0f907-8673-48a7-8262-170b458ab791,AdvBuild,1,25,1879,0.11,0.06,76
d2480d05-938b-4379-bd95-57d918b8f179,AdvBuild,1,25,2245,0.06,0.06,75
bebd2018-d8e2-4f62-81fd-10444de5d31e,AdvBuild,1,25,1620,0.04,0.06,75
56e6c6d9-f1fb-441a-9f58-1902edb36e84,AdvBuild,1,25,2688,0.1,0.06,75
778001f5-df03-445f-aa37-d659d01e370c,AdvBuild,1,25,2392,0.1,0.05,75
952a8e88-9fdc-4c12-b9d1-368f4ff42190,AdvBuild,1,8,-48,0.74,0.07, 
1832c8de-2b22-4a1d-8845-aeefbbe29feb,AdvBuild,1,25,2002,0.07,0.04,75
bd8319d8-a0a6-4e76-9ecd-7805183f6abd,AdvBuild,1,25,1901,0.1,0.05,76
518d528f-d9f4-4ceb-a3a0-60edb72cea04,AdvBuild,1,25,2043,0.09,0.07,76
e55381a2-650a-4007-943b-7562e2c40cea,AdvBuild,1,12,-473,1.23,0.08,85
35688e58-fc2e-43e6-8a58-f26a389a6463,AdvBuild,1,26,1633,0.1,0.05,75
3d1a162e-17c5-4ef2-bf1f-1c0c7301b10b,AdvBuild,1,25,1811,0.06,0.05,76
7b1cb680-3c48-4c63-9bcf-2b96ae039ec6,AdvBuild,1,25,2151,0.1,0.06,75
e1aa066f-f47a-4122-acd7-273c8dbb26a2,AdvBuild,1,24,2402,0.1,0.06,76
